ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
0,0,0,2021232,-71.01,-12.05,1,27,4
0,0,0,2021233,-71.0026,-12.366,0,0,0
0,0,0,2021234,-70.9973,-12.6722,0,0,0
0,0,0,2021235,-70.9937,-12.9678,0,0,0
0,0,0,2021236,-70.9916,-13.2521,0,0,0
-70.99,-14.03,1,2021237,-70.9905,-13.5243,0,0,0
-70.9565,-14.136,1,2021238,-70.9901,-13.7839,0,0,0
-70.9902,-14.3415,1,2021239,-70.99,-14.03,1,27,4
-70.9722,-14.5598,1,2021240,-71.0071,-14.2565,0,0,0
-70.9242,-14.8802,1,2021241,-71.053,-14.4631,0,0,0
-70.9689,-15.1062,0,2021242,-71.1199,-14.6578,0,0,0
-71.0813,-15.2879,0,2021243,-71.1999,-14.8488,0,0,0
-71.2289,-15.4485,0,2021244,-71.2852,-15.0441,0,0,0
-71.3791,-15.6114,0,2021245,-71.3678,-15.2518,0,0,0
-71.4993,-15.7997,0,2021246,-71.44,-15.48,1,27,4
-71.557,-16.0366,1,2021247,-71.5023,-15.7309,0,0,0
-71.5672,-16.3922,1,2021248,-71.5618,-15.9994,0,0,0
-71.7303,-16.6448,1,2021249,-71.6208,-16.2824,0,0,0
-71.7274,-16.8033,1,2021250,-71.681,-16.5769,0,0,0
-71.7959,-17.1717,1,2021251,-71.7446,-16.88,0,0,0
-71.8505,-17.4625,0,2021252,-71.8136,-17.1887,0,0,0
-71.8947,-17.7255,0,2021253,-71.89,-17.5,1,27,4
-71.9363,-17.9666,0,2021254,-71.9813,-17.8189,0,0,0
-71.9828,-18.1918,0,2021255,-72.0892,-18.1502,0,0,0
-72.0418,-18.407,0,2021256,-72.2073,-18.4903,0,0,0
-72.1209,-18.6182,1,2021257,-72.3289,-18.8359,0,0,0
-72.2806,-18.8144,1,2021258,-72.4476,-19.1833,0,0,0
-72.4243,-19.2673,1,2021259,-72.5568,-19.5292,0,0,0
-72.5887,-19.9212,1,2021260,-72.65,-19.87,1,27,4
-72.873,-20.648,1,2021261,-72.7303,-20.2196,0,0,0
-72.9399,-21.0505,0,2021262,-72.8056,-20.5857,0,0,0
-72.9903,-21.374,0,2021263,-72.8763,-20.9557,0,0,0
-73.027,-21.6401,0,2021264,-72.9427,-21.3168,0,0,0
-73.0526,-21.8706,0,2021265,-73.0052,-21.6563,0,0,0
-73.0698,-22.0873,0,2021266,-73.0642,-21.9616,0,0,0
-73.0814,-22.3118,1,2021267,-73.12,-22.22,1,27,4
-73.0881,-22.5276,1,2021268,-73.1777,-22.4365,0,0,0
-73.1224,-22.7836,1,2021269,-73.2389,-22.6287,0,0,0
-73.1224,-22.7836,1,2021270,-73.2992,-22.8031,0,0,0
-73.2215,-22.9541,1,2021271,-73.354,-22.9661,0,0,0
-73.2707,-23.1728,0,2021272,-73.3988,-23.124,0,0,0
-73.3067,-23.4311,0,2021273,-73.4289,-23.2832,0,0,0
-73.3349,-23.7048,0,2021274,-73.44,-23.45,1,27,4
-73.3608,-23.9697,0,2021275,-73.4345,-23.6297,0,0,0
-73.3898,-24.2015,0,2021276,-73.4202,-23.8184,0,0,0
-73.4272,-24.3763,1,2021277,-73.4006,-24.0087,0,0,0
-73.4793,-24.4862,1,2021278,-73.3794,-24.1933,0,0,0
-73.3883,-24.5918,1,2021279,-73.3598,-24.365,0,0,0
-73.3883,-24.5918,1,2021280,-73.3455,-24.5163,0,0,0
-73.3883,-24.5918,1,2021281,-73.34,-24.64,1,27,4
-73.3917,-24.6506,0,2021282,-73.3509,-24.7352,0,0,0
-73.4018,-24.7983,0,2021283,-73.3796,-24.8114,0,0,0
-73.4181,-24.9917,0,2021284,-73.4204,-24.8765,0,0,0
-73.4403,-25.1876,0,2021285,-73.4677,-24.9389,0,0,0
-73.4679,-25.343,0,2021286,-73.5155,-25.0065,0,0,0
-73.5007,-25.4147,1,2021287,-73.5582,-25.0875,0,0,0
-73.5774,-25.4247,1,2021288,-73.59,-25.19,1,27,4
-73.6567,-25.4984,1,2021289,-73.6124,-25.3611,0,0,0
-73.6969,-25.8628,1,2021290,-73.6315,-25.6156,0,0,0
-73.7141,-26.1461,1,2021291,-73.6486,-25.9137,0,0,0
-73.7118,-26.3205,0,2021292,-73.6647,-26.2152,0,0,0
-73.7059,-26.4802,0,2021293,-73.6812,-26.4801,0,0,0
-73.6983,-26.6175,0,2021294,-73.6993,-26.6683,0,0,0
-73.6907,-26.7249,0,2021295,-73.72,-26.74,1,27,4
-73.6848,-26.7949,0,2021296,-73.7438,-26.74,0,0,0
-73.6825,-26.8199,1,2021297,-73.7699,-26.74,0,0,0
-73.6825,-26.8199,1,2021298,-73.7979,-26.74,0,0,0
-73.7635,-27.0338,1,2021299,-73.8273,-26.74,0,0,0
-73.8406,-27.4401,1,2021300,-73.8577,-26.74,0,0,0
-73.8668,-27.3455,1,2021301,-73.8888,-26.74,0,0,0
-73.8964,-27.3648,0,2021302,-73.92,-26.74,1,27,4
-73.9275,-27.4132,0,2021303,-73.9534,-26.7694,0,0,0
-73.9607,-27.476,0,2021304,-73.9901,-26.8451,0,0,0
-73.9966,-27.5389,0,2021305,-74.0282,-26.9486,0,0,0
-74.0357,-27.5873,0,2021306,-74.066,-27.0614,0,0,0
-74.0785,-27.6066,1,2021307,-74.1018,-27.1649,0,0,0
-74.1325,-27.5508,1,2021308,-74.1337,-27.2406,0,0,0
