date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1998291,0,0,0,-77.3,-48.7,1,0,0,0,0,0,0,48,22
1998292,0,0,0,-77.3,-48.7,0,0,0,0,0,0,0,0,0
1998293,0,0,0,-77.3,-48.7,0,0,0,0,0,0,0,0,0
1998294,0,0,0,-77.3,-48.7,0,0,0,0,0,0,0,0,0
1998295,0,0,0,-77.3,-48.7,0,0,0,0,0,0,0,0,0
1998296,0,0,0,-77.3,-48.7,0,0,0,0,0,0,0,0,0
1998297,0,0,0,-77.3,-48.7,0,0,0,0,0,0,0,0,0
1998298,0,0,0,-77.3,-48.7,1,0,0,0,0,0,0,48,22
1998299,0,0,0,-77.2913,-48.7662,0,0,0,0,0,0,0,0,0
1998300,0,0,0,-77.2684,-48.9389,0,0,0,0,0,0,0,0,0
1998301,-77.3,-48.7,1,-77.2358,-49.1796,0,0,0,0,0,0,0,0,0
1998302,-77.3,-48.7,1,-77.1981,-49.4496,0,0,0,0,0,0,0,0,0
1998303,-77.3,-48.7,1,-77.1598,-49.7105,0,0,0,0,0,0,0,0,0
1998304,-77.3,-48.7,1,-77.1256,-49.9235,0,0,0,0,0,0,0,0,0
1998305,-77.3,-48.7,1,-77.1,-50.05,1,0,0,0,0,0,0,48,22
1998306,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998307,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998308,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998309,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998310,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998311,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998312,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998313,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998314,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998315,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998316,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998317,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998318,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998319,-77.3,-48.7,1,-76.9,-50.6,1,0,0,0,0,0,0,48,22
1998320,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998321,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998322,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998323,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998324,-77.3,-48.7,1,0,0,0,0,0,0,0,0,0,0,0
1998325,-77.1948,-48.9507,1,0,0,0,0,0,0,0,0,0,0,0
1998326,-76.9845,-49.4519,1,0,0,0,0,0,0,0,0,0,0,0
1998327,-76.7742,-49.9532,1,0,0,0,0,0,0,0,0,0,0,0
1998328,-76.669,-50.2039,1,0,0,0,0,0,0,0,0,0,0,0
1998329,-76.669,-50.2039,1,0,0,0,0,0,0,0,0,0,0,0
1998330,-76.669,-50.2039,1,0,0,0,0,0,0,0,0,0,0,0
1998331,-76.669,-50.2039,1,0,0,0,0,0,0,0,0,0,0,0
1998332,-76.669,-50.2039,1,0,0,0,0,0,0,0,0,0,0,0
1998333,-76.669,-50.2039,1,-76.8,-50.9,1,0,0,0,0,0,0,48,22
1998334,-76.669,-50.2039,1,-76.7694,-50.9763,0,0,0,0,0,0,0,0,0
1998335,-76.669,-50.2039,1,-76.7126,-51.1096,0,0,0,0,0,0,0,0,0
1998336,-76.669,-50.2039,1,-76.6399,-51.2761,0,0,0,0,0,0,0,0,0
1998337,-76.6275,-50.2577,1,-76.5618,-51.4521,0,0,0,0,0,0,0,0,0
1998338,-76.5446,-50.3653,1,-76.4888,-51.6139,0,0,0,0,0,0,0,0,0
1998339,-76.4617,-50.4728,1,-76.4314,-51.7378,0,0,0,0,0,0,0,0,0
1998340,-76.4202,-50.5266,1,-76.4,-51.8,1,0,0,0,0,0,0,48,22
1998341,-76.4202,-50.5266,1,0,0,0,0,0,0,0,0,0,0,0
1998342,-76.4202,-50.5266,1,0,0,0,0,0,0,0,0,0,0,0
1998343,-76.3993,-50.5532,1,0,0,0,0,0,0,0,0,0,0,0
1998344,-76.3576,-50.6063,1,0,0,0,0,0,0,0,0,0,0,0
1998345,-76.3158,-50.6594,1,0,0,0,0,0,0,0,0,0,0,0
1998346,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998347,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998348,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998349,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998350,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998351,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998352,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998353,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998354,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998355,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998356,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998357,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998358,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998359,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998360,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998361,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998362,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998363,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998364,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1998365,-76.2949,-50.686,0,0,0,0,0,0,0,0,0,0,0,0
1999001,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999002,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999003,-76.2949,-50.686,1,-76.2,-52.1,1,0,0,0,0,0,0,48,22
1999004,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999005,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999006,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999007,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999008,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999009,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999010,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999011,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999012,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999013,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999014,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999015,-76.2949,-50.686,1,0,0,0,0,0,0,0,0,0,0,0
1999016,-76.295,-50.8337,1,0,0,0,0,0,0,0,0,0,0,0
1999017,-76.2952,-51.1292,1,0,0,0,0,0,0,0,0,0,0,0
1999018,-76.2953,-51.4247,1,0,0,0,0,0,0,0,0,0,0,0
1999019,-76.2954,-51.5724,1,0,0,0,0,0,0,0,0,0,0,0
1999020,-76.2954,-51.5724,1,0,0,0,0,0,0,0,0,0,0,0
1999021,-76.2954,-51.5724,1,0,0,0,0,0,0,0,0,0,0,0
1999022,-76.2954,-51.5724,1,0,0,0,0,0,0,0,0,0,0,0
1999023,-76.2954,-51.5724,1,0,0,0,0,0,0,0,0,0,0,0
1999024,-76.2954,-51.5724,1,-76,-52,1,0,0,0,0,0,0,48,22
1999025,-76.2619,-51.5555,1,0,0,0,0,0,0,0,0,0,0,0
1999026,-76.195,-51.5216,1,0,0,0,0,0,0,0,0,0,0,0
1999027,-76.128,-51.4877,1,0,0,0,0,0,0,0,0,0,0,0
1999028,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999029,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999030,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999031,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999032,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999033,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999034,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999035,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999036,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999037,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999038,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999039,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999040,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999041,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999042,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999043,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999044,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999045,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999046,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999047,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999048,-76.0945,-51.4707,1,0,0,0,0,0,0,0,0,0,0,0
1999049,-76.0652,-51.5316,1,0,0,0,0,0,0,0,0,0,0,0
1999050,-76.0067,-51.6535,1,0,0,0,0,0,0,0,0,0,0,0
1999051,-75.9482,-51.7754,1,0,0,0,0,0,0,0,0,0,0,0
1999052,-75.9189,-51.8363,1,0,0,0,0,0,0,0,0,0,0,0
1999053,-75.9189,-51.8363,1,0,0,0,0,0,0,0,0,0,0,0
1999054,-75.9189,-51.8363,1,0,0,0,0,0,0,0,0,0,0,0
1999055,-75.9189,-51.8363,1,0,0,0,0,0,0,0,0,0,0,0
1999056,-75.9189,-51.8363,1,0,0,0,0,0,0,0,0,0,0,0
1999057,-75.9189,-51.8363,1,0,0,0,0,0,0,0,0,0,0,0
1999058,-75.9189,-51.8363,1,0,0,0,0,0,0,0,0,0,0,0
1999059,-75.9189,-51.8363,1,0,0,0,0,0,0,0,0,0,0,0
1999060,-75.9189,-51.8363,1,0,0,0,0,0,0,0,0,0,0,0
1999061,-75.9189,-51.8363,1,0,0,0,0,0,0,0,0,0,0,0
1999062,-75.9189,-51.8363,1,0,0,0,0,0,0,0,0,0,0,0
1999063,-75.9189,-51.8363,1,0,0,0,0,0,0,0,0,0,0,0
1999064,-75.9662,-52.0323,1,0,0,0,0,0,0,0,0,0,0,0
1999065,-76.0609,-52.4244,1,0,0,0,0,0,0,0,0,0,0,0
1999066,-76.1556,-52.8165,1,0,0,0,0,0,0,0,0,0,0,0
1999067,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999068,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999069,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999070,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999071,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999072,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999073,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999074,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999075,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999076,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999077,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999078,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999079,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999080,-76.2029,-53.0125,1,-75.5,-54.9,1,0,0,0,0,0,0,48,22
1999081,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999082,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999083,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999084,-76.2029,-53.0125,1,0,0,0,0,0,0,0,0,0,0,0
1999085,-76.172,-53.0885,1,0,0,0,0,0,0,0,0,0,0,0
1999086,-76.1101,-53.2404,1,0,0,0,0,0,0,0,0,0,0,0
1999087,-76.0481,-53.3923,1,0,0,0,0,0,0,0,0,0,0,0
1999088,-76.0172,-53.4682,1,0,0,0,0,0,0,0,0,0,0,0
1999089,-76.0172,-53.4682,1,0,0,0,0,0,0,0,0,0,0,0
1999090,-76.0172,-53.4682,1,0,0,0,0,0,0,0,0,0,0,0
1999091,-75.9568,-53.4951,1,0,0,0,0,0,0,0,0,0,0,0
1999092,-75.8361,-53.5487,1,0,0,0,0,0,0,0,0,0,0,0
1999093,-75.7153,-53.6025,1,0,0,0,0,0,0,0,0,0,0,0
1999094,-75.6077,-53.668,1,0,0,0,0,0,0,0,0,0,0,0
1999095,-75.5135,-53.7454,1,0,0,0,0,0,0,0,0,0,0,0
1999096,-75.4192,-53.8228,1,0,0,0,0,0,0,0,0,0,0,0
1999097,-75.372,-53.8615,1,0,0,0,0,0,0,0,0,0,0,0
1999098,-75.372,-53.8615,1,0,0,0,0,0,0,0,0,0,0,0
1999099,-75.372,-53.8615,1,0,0,0,0,0,0,0,0,0,0,0
1999100,-75.372,-53.8615,1,0,0,0,0,0,0,0,0,0,0,0
1999101,-75.372,-53.8615,1,0,0,0,0,0,0,0,0,0,0,0
1999102,-75.372,-53.8615,1,0,0,0,0,0,0,0,0,0,0,0
1999103,-75.3432,-53.9765,1,0,0,0,0,0,0,0,0,0,0,0
1999104,-75.2857,-54.2066,1,0,0,0,0,0,0,0,0,0,0,0
1999105,-75.2282,-54.4368,1,0,0,0,0,0,0,0,0,0,0,0
1999106,-75.1994,-54.5518,1,0,0,0,0,0,0,0,0,0,0,0
1999107,-75.1994,-54.5518,1,0,0,0,0,0,0,0,0,0,0,0
1999108,-75.1994,-54.5518,1,-74.3,-58.3,1,0,0,0,0,0,0,48,22
1999109,-75.183,-54.597,1,0,0,0,0,0,0,0,0,0,0,0
1999110,-75.1503,-54.6874,1,0,0,0,0,0,0,0,0,0,0,0
1999111,-75.1176,-54.7779,1,0,0,0,0,0,0,0,0,0,0,0
1999112,-75.0862,-54.8878,1,0,0,0,0,0,0,0,0,0,0,0
1999113,-75.0563,-55.0172,1,0,0,0,0,0,0,0,0,0,0,0
1999114,-75.0263,-55.1467,1,0,0,0,0,0,0,0,0,0,0,0
1999115,-75.0113,-55.2114,1,0,0,0,0,0,0,0,0,0,0,0
1999116,-75.0113,-55.2114,1,0,0,0,0,0,0,0,0,0,0,0
1999117,-75.0113,-55.2114,1,0,0,0,0,0,0,0,0,0,0,0
1999118,-75.0113,-55.2114,1,0,0,0,0,0,0,0,0,0,0,0
1999119,-75.0113,-55.2114,1,0,0,0,0,0,0,0,0,0,0,0
1999120,-75.0113,-55.2114,1,0,0,0,0,0,0,0,0,0,0,0
1999121,-74.9797,-55.2866,1,0,0,0,0,0,0,0,0,0,0,0
1999122,-74.9166,-55.4369,1,-74.4,-55.7,1,0,0,0,0,0,0,48,22
1999123,-74.8534,-55.5873,1,-74.4,-55.7111,0,0,0,0,0,0,0,0,0
1999124,-74.8218,-55.6625,1,-74.4,-55.7397,0,0,0,0,0,0,0,0,0
1999125,-74.8218,-55.6625,1,-74.4,-55.7787,0,0,0,0,0,0,0,0,0
1999126,-74.8218,-55.6625,1,-74.4,-55.8213,0,0,0,0,0,0,0,0,0
1999127,-74.8179,-55.7196,1,-74.4,-55.8603,0,0,0,0,0,0,0,0,0
1999128,-74.81,-55.8338,1,-74.4,-55.8889,0,0,0,0,0,0,0,0,0
1999129,-74.8021,-55.948,1,-74.4,-55.9,1,0,0,0,0,0,0,48,22
1999130,-74.7982,-56.0051,1,-74.3778,-55.8945,0,0,0,0,0,0,0,0,0
1999131,-74.7982,-56.0051,1,-74.3207,-55.8802,0,0,0,0,0,0,0,0,0
1999132,-74.7982,-56.0051,1,-74.2426,-55.8606,0,0,0,0,0,0,0,0,0
1999133,-74.7982,-56.0051,1,-74.1574,-55.8394,0,0,0,0,0,0,0,0,0
1999134,-74.7982,-56.0051,1,-74.0793,-55.8198,0,0,0,0,0,0,0,0,0
1999135,-74.7982,-56.0051,1,-74.0222,-55.8055,0,0,0,0,0,0,0,0,0
1999136,-74.7814,-56.0017,1,-74,-55.8,1,0,0,0,0,0,0,48,22
1999137,-74.7476,-55.9948,1,0,0,0,0,0,0,0,0,0,0,0
1999138,-74.7139,-55.9879,1,0,0,0,0,0,0,0,0,0,0,0
1999139,-74.6971,-55.9845,1,0,0,0,0,0,0,0,0,0,0,0
1999140,-74.6971,-55.9845,1,0,0,0,0,0,0,0,0,0,0,0
1999141,-74.6971,-55.9845,1,0,0,0,0,0,0,0,0,0,0,0
1999142,-74.6803,-56.0501,1,0,0,0,0,0,0,0,0,0,0,0
1999143,-74.6467,-56.1812,1,0,0,0,0,0,0,0,0,0,0,0
1999144,-74.6131,-56.3124,1,0,0,0,0,0,0,0,0,0,0,0
1999145,-74.5963,-56.378,1,0,0,0,0,0,0,0,0,0,0,0
1999146,-74.5963,-56.378,1,0,0,0,0,0,0,0,0,0,0,0
1999147,-74.5963,-56.378,1,0,0,0,0,0,0,0,0,0,0,0
1999148,-74.595,-56.4501,1,0,0,0,0,0,0,0,0,0,0,0
1999149,-74.5923,-56.5942,1,0,0,0,0,0,0,0,0,0,0,0
1999150,-74.5896,-56.7383,1,-74.1,-56.45,1,0,0,0,0,0,0,48,22
1999151,-74.5883,-56.8104,1,-74.092,-56.4761,0,0,0,0,0,0,0,0,0
1999152,-74.5883,-56.8104,1,-74.0705,-56.4986,0,0,0,0,0,0,0,0,0
1999153,-74.5883,-56.8104,1,-74.0396,-56.5189,0,0,0,0,0,0,0,0,0
1999154,-74.5775,-56.806,1,-74.0031,-56.538,0,0,0,0,0,0,0,0,0
1999155,-74.556,-56.7972,1,-73.965,-56.5572,0,0,0,0,0,0,0,0,0
1999156,-74.5345,-56.7884,1,-73.9294,-56.5774,0,0,0,0,0,0,0,0,0
1999157,-74.5082,-56.7993,1,-73.9,-56.6,1,0,0,0,0,0,0,48,22
1999158,-74.4771,-56.8298,1,0,0,0,0,0,0,0,0,0,0,0
1999159,-74.446,-56.8603,1,0,0,0,0,0,0,0,0,0,0,0
1999160,-74.4304,-56.8756,1,0,0,0,0,0,0,0,0,0,0,0
1999161,-74.4304,-56.8756,1,0,0,0,0,0,0,0,0,0,0,0
1999162,-74.4304,-56.8756,1,0,0,0,0,0,0,0,0,0,0,0
1999163,-74.4304,-56.8756,1,0,0,0,0,0,0,0,0,0,0,0
1999164,-74.4304,-56.8756,1,0,0,0,0,0,0,0,0,0,0,0
1999165,-74.4304,-56.8756,1,0,0,0,0,0,0,0,0,0,0,0
1999166,-74.4304,-56.8756,1,0,0,0,0,0,0,0,0,0,0,0
1999167,-74.4304,-56.8756,1,0,0,0,0,0,0,0,0,0,0,0
1999168,-74.4304,-56.8756,1,0,0,0,0,0,0,0,0,0,0,0
1999169,-74.4116,-56.9512,1,0,0,0,0,0,0,0,0,0,0,0
1999170,-74.3739,-57.1025,1,0,0,0,0,0,0,0,0,0,0,0
1999171,-74.3362,-57.2538,1,-73.6,-57,1,0,0,0,0,0,0,48,22
1999172,-74.3173,-57.3294,1,-73.5846,-57.0178,0,0,0,0,0,0,0,0,0
1999173,-74.3173,-57.3294,1,-73.5713,-57.0345,0,0,0,0,0,0,0,0,0
1999174,-74.3173,-57.3294,1,-73.5591,-57.0501,0,0,0,0,0,0,0,0,0
1999175,-74.3173,-57.3294,1,-73.5469,-57.0644,0,0,0,0,0,0,0,0,0
1999176,-74.3173,-57.3294,1,-73.5337,-57.0776,0,0,0,0,0,0,0,0,0
1999177,-74.3173,-57.3294,1,-73.5184,-57.0894,0,0,0,0,0,0,0,0,0
1999178,-74.2769,-57.35,1,-73.5,-57.1,1,0,0,0,0,0,0,48,22
1999179,-74.1962,-57.3912,1,0,0,0,0,0,0,0,0,0,0,0
1999180,-74.1154,-57.4325,1,0,0,0,0,0,0,0,0,0,0,0
1999181,-74.0479,-57.3786,1,0,0,0,0,0,0,0,0,0,0,0
1999182,-73.9938,-57.2295,1,0,0,0,0,0,0,0,0,0,0,0
1999183,-73.9396,-57.0804,1,0,0,0,0,0,0,0,0,0,0,0
1999184,-73.8864,-57.0169,1,0,0,0,0,0,0,0,0,0,0,0
1999185,-73.8341,-57.0389,1,0,0,0,0,0,0,0,0,0,0,0
1999186,-73.7818,-57.0609,1,0,0,0,0,0,0,0,0,0,0,0
1999187,-73.7316,-57.0491,1,0,0,0,0,0,0,0,0,0,0,0
1999188,-73.6834,-57.0034,1,0,0,0,0,0,0,0,0,0,0,0
1999189,-73.6353,-56.9577,1,0,0,0,0,0,0,0,0,0,0,0
1999190,-73.6112,-56.9349,1,0,0,0,0,0,0,0,0,0,0,0
1999191,-73.6112,-56.9349,1,0,0,0,0,0,0,0,0,0,0,0
1999192,-73.6112,-56.9349,1,-72.9,-57.2,1,0,0,0,0,0,0,48,22
1999193,-73.5743,-56.9205,1,-72.8462,-57.2334,0,0,0,0,0,0,0,0,0
1999194,-73.5007,-56.8916,1,-72.7864,-57.2978,0,0,0,0,0,0,0,0,0
1999195,-73.427,-56.8628,1,-72.7234,-57.3822,0,0,0,0,0,0,0,0,0
1999196,-73.3901,-56.8484,1,-72.6604,-57.4755,0,0,0,0,0,0,0,0,0
1999197,-73.3901,-56.8484,1,-72.6001,-57.5669,0,0,0,0,0,0,0,0,0
1999198,-73.3901,-56.8484,1,-72.5457,-57.6454,0,0,0,0,0,0,0,0,0
1999199,-73.3037,-56.849,1,-72.5,-57.7,1,0,0,0,0,0,0,48,22
1999200,-73.1309,-56.8503,1,0,0,0,0,0,0,0,0,0,0,0
1999201,-72.9582,-56.8515,1,0,0,0,0,0,0,0,0,0,0,0
1999202,-72.8655,-56.8469,1,0,0,0,0,0,0,0,0,0,0,0
1999203,-72.8528,-56.8363,1,0,0,0,0,0,0,0,0,0,0,0
1999204,-72.8401,-56.8259,1,0,0,0,0,0,0,0,0,0,0,0
1999205,-72.8338,-56.8206,1,0,0,0,0,0,0,0,0,0,0,0
1999206,-72.8338,-56.8206,1,0,0,0,0,0,0,0,0,0,0,0
1999207,-72.8338,-56.8206,1,0,0,0,0,0,0,0,0,0,0,0
1999208,-72.8095,-56.8202,1,0,0,0,0,0,0,0,0,0,0,0
1999209,-72.761,-56.8192,1,0,0,0,0,0,0,0,0,0,0,0
1999210,-72.7124,-56.8183,1,0,0,0,0,0,0,0,0,0,0,0
1999211,-72.6514,-56.8245,1,0,0,0,0,0,0,0,0,0,0,0
1999212,-72.5779,-56.8376,1,0,0,0,0,0,0,0,0,0,0,0
1999213,-72.5044,-56.8508,1,0,0,0,0,0,0,0,0,0,0,0
1999214,-72.4676,-56.8574,1,0,0,0,0,0,0,0,0,0,0,0
1999215,-72.4676,-56.8574,1,0,0,0,0,0,0,0,0,0,0,0
1999216,-72.4676,-56.8574,1,0,0,0,0,0,0,0,0,0,0,0
1999217,-72.4676,-56.8574,1,0,0,0,0,0,0,0,0,0,0,0
1999218,-72.4676,-56.8574,1,0,0,0,0,0,0,0,0,0,0,0
1999219,-72.4676,-56.8574,1,0,0,0,0,0,0,0,0,0,0,0
1999220,-72.4676,-56.8574,1,-71.9,-58.2,1,0,0,0,0,0,0,48,22
1999221,-72.4676,-56.8574,1,-71.9,-58.1945,0,0,0,0,0,0,0,0,0
1999222,-72.4676,-56.8574,1,-71.9,-58.1802,0,0,0,0,0,0,0,0,0
1999223,-72.4294,-56.8867,1,-71.9,-58.1606,0,0,0,0,0,0,0,0,0
1999224,-72.353,-56.9454,1,-71.9,-58.1394,0,0,0,0,0,0,0,0,0
1999225,-72.2766,-57.0041,1,-71.9,-58.1198,0,0,0,0,0,0,0,0,0
1999226,-72.2384,-57.0334,1,-71.9,-58.1055,0,0,0,0,0,0,0,0,0
1999227,-72.2384,-57.0334,1,-71.9,-58.1,1,0,0,0,0,0,0,48,22
1999228,-72.2384,-57.0334,1,-71.8924,-58.1128,0,0,0,0,0,0,0,0,0
1999229,-72.2186,-57.0232,1,-71.872,-58.1482,0,0,0,0,0,0,0,0,0
1999230,-72.1791,-57.0028,1,-71.8423,-58.2015,0,0,0,0,0,0,0,0,0
1999231,-72.1397,-56.9824,1,-71.8067,-58.2679,0,0,0,0,0,0,0,0,0
1999232,-72.0984,-57.0047,1,-71.7688,-58.343,0,0,0,0,0,0,0,0,0
1999233,-72.0555,-57.0697,1,-71.7321,-58.4219,0,0,0,0,0,0,0,0,0
1999234,-72.0125,-57.1347,1,-71.7,-58.5,1,0,0,0,0,0,0,48,22
1999235,-71.9557,-57.2398,1,-71.6721,-58.6003,0,0,0,0,0,0,0,0,0
1999236,-71.8852,-57.3849,1,-71.6452,-58.7363,0,0,0,0,0,0,0,0,0
1999237,-71.8146,-57.53,1,-71.6185,-58.8895,0,0,0,0,0,0,0,0,0
1999238,-71.7411,-57.6789,1,-71.5913,-59.0411,0,0,0,0,0,0,0,0,0
1999239,-71.6647,-57.8316,1,-71.563,-59.1725,0,0,0,0,0,0,0,0,0
1999240,-71.5883,-57.9842,1,-71.5328,-59.265,0,0,0,0,0,0,0,0,0
1999241,-71.5332,-58.0935,1,-71.5,-59.3,1,0,0,0,0,0,0,48,22
1999242,-71.4994,-58.1595,1,-71.4582,-59.2889,0,0,0,0,0,0,0,0,0
1999243,-71.4657,-58.2256,1,-71.4055,-59.2603,0,0,0,0,0,0,0,0,0
1999244,-71.4488,-58.2586,1,-71.3483,-59.2213,0,0,0,0,0,0,0,0,0
1999245,-71.4488,-58.2586,1,-71.2929,-59.1787,0,0,0,0,0,0,0,0,0
1999246,-71.4488,-58.2586,1,-71.2455,-59.1397,0,0,0,0,0,0,0,0,0
1999247,-71.4488,-58.2586,1,-71.2124,-59.1111,0,0,0,0,0,0,0,0,0
1999248,-71.4488,-58.2586,1,-71.2,-59.1,1,0,0,0,0,0,0,48,22
1999249,-71.4488,-58.2586,1,0,0,0,0,0,0,0,0,0,0,0
1999250,-71.3821,-58.3488,1,0,0,0,0,0,0,0,0,0,0,0
1999251,-71.2486,-58.5293,1,0,0,0,0,0,0,0,0,0,0,0
1999252,-71.1151,-58.7097,1,0,0,0,0,0,0,0,0,0,0,0
1999253,-71.0484,-58.7999,1,0,0,0,0,0,0,0,0,0,0,0
1999254,-71.0484,-58.7999,1,0,0,0,0,0,0,0,0,0,0,0
1999255,-71.0484,-58.7999,1,0,0,0,0,0,0,0,0,0,0,0
1999256,-70.9775,-58.8644,1,0,0,0,0,0,0,0,0,0,0,0
1999257,-70.8357,-58.9933,1,0,0,0,0,0,0,0,0,0,0,0
1999258,-70.694,-59.1223,1,0,0,0,0,0,0,0,0,0,0,0
1999259,-70.5807,-59.0999,1,0,0,0,0,0,0,0,0,0,0,0
1999260,-70.4959,-58.926,1,0,0,0,0,0,0,0,0,0,0,0
1999261,-70.4112,-58.7521,1,0,0,0,0,0,0,0,0,0,0,0
