Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update,,,,,,,,
A23A,44,40,-75.79,-41.06,belle (grounded),4/10/2020,,,,,,,,
A63,11,3,-76.28,-46.83,belle (grounded),4/10/2020,,,,,,,,
A64,16,11,-69.73,-60.95,belle (grounded),4/10/2020,,,,,,,,
A68A,82,26,-61.00,-50.26,belle,4/10/2020,,,,,,,,
A68B,7,3,-63.22,-53.46,belle,4/10/2020,,,,,,,,
B09B,27,9,-66.24,143.22,wilke,4/10/2020,,,,,,,,
B09G,12,7,-67.96,41.72,amerw (grounded),4/10/2020,,,,,,,,
B09I,12,6,-69.19,15.88,wedde,4/10/2020,,,,,,,,
B15AB,11,4,-66.02,51.07,amerw,4/10/2020,,,,,,,,
B22A,44,24,-73.97,-109.28,amune (grounded),4/10/2020,,,,,,,,
B28,10,7,-74.69,-108.78,amune (grounded),4/10/2020,,,,,,,,
B29,11,5,-74.52,-108.91,amune (grounded),4/10/2020,,,,,,,,
B37,8,3,-72.54,-112.21,amune,4/10/2020,,,,,,,,
B38,6,4,-77.00,-155.03,rosse,4/10/2020,,,,,,,,
B39,8,4,-67.78,75.37,amere,4/10/2020,,,,,,,,
B40,8,5,-65.64,132.17,wilke,4/10/2020,,,,,,,,
B42,13,4,-72.96,-125.57,amunw,4/10/2020,,,,,,,,
B45,8,6,-74.69,-109.35,amune (grounded),4/10/2020,,,,,,,,
B46,10,4,-74.42,-105.60,amune,4/10/2020,,,,,,,,
B47,19,5,-73.78,-133.75,amunw,4/10/2020,,,,,,,,
B48,12,2,-73.94,-115.24,amunw,4/10/2020,,,,,,,,
B49,10,5,-74.39,-105.11,amune,4/10/2020,,,,,,,,
C15,14,10,-66.01,143.33,wilke,4/10/2020,,,,,,,,
C18B,20,4,-65.45,113.81,wilkw (grounded),4/10/2020,,,,,,,,
C21B,12,8,-64.99,95.86,wilkw (grounded),4/10/2020,,,,,,,,
C24,11,3,-64.84,96.02,wilkw (grounded),4/10/2020,,,,,,,,
C29,5,5,-66.09,142.86,wilke (grounded),4/10/2020,,,,,,,,
C30,9,3,-64.78,96.30,wilkw (grounded),4/10/2020,,,,,,,,
C31,9,3,-64.69,96.51,wilkw (grounded),4/10/2020,,,,,,,,
C33,8,4,-65.46,138.21,wilke,4/10/2020,,,,,,,,
C34,11,5,-65.59,107.20,wilkw,4/10/2020,,,,,,,,
C35,12,5,-68.24,148.22,wilke (grounded),4/10/2020,,,,,,,,
C36,23,16,-68.11,147.85,wilke (grounded),4/10/2020,,,,,,,,
D15A,51,24,-66.64,81.91,amere (grounded),4/10/2020,,,,,,,,
D15B,33,12,-66.99,81.57,amere (grounded),4/10/2020,,,,,,,,
D20A,20,9,-68.67,36.24,amerw,4/10/2020,,,,,,,,
D21B,11,4,-73.10,-41.20,belle,4/10/2020,,,,,,,,
D23,8,6,-69.43,74.67,amere (grounded),4/102020,,,,,,,,
D26,19,2,-69.40,29.33,wedde (grounded),4/102020,,,,,,,,
D27,8,5,-67.27,81.87,amere (grounded),4/10/2020,,,,,,,,
D28,29,19,-66.83,73.91,amere (grounded),4/10/2020,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
