Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update,,,,,,,,
A23A,44,40,-75.79,-41.06,belle (grounded),1/31/2020,,,,,,,,
A63,11,3,-76.29,-46.74,belle (grounded),1/31/2020,,,,,,,,
A64,16,11,-69.73,-60.98,belle (grounded),1/31/2020,,,,,,,,
A68A,82,26,-63.38,-52.07,belle,1/31/2020,,,,,,,,
A68B,7,3,-64.71,-57.08,belle,1/31/2020,,,,,,,,
B09B,27,9,-66.25,143.30,wilke (grounded),1/31/2020,,,,,,,,
B09G,12,7,-67.96,41.71,amerw (grounded),1/31/2020,,,,,,,,
B09I,12,6,-68.19,36.73,amerw,1/31/2020,,,,,,,,
B15AA,11,6,-55.13,-31.83,belle,1/31/2020,,,,,,,,
B15AB,11,4,-66.01,51.12,amerw (grounded),1/31/2020,,,,,,,,
B16,9,5,-55.98,-23.25,weddw,1/31/2020,,,,,,,,
B22A,44,24,-73.99,-109.26,amune (grounded),1/31/2020,,,,,,,,
B28,10,7,-74.70,-108.79,amune (grounded),1/31/2020,,,,,,,,
B29,11,5,-74.53,-108.91,amune (grounded),1/31/2020,,,,,,,,
B37,8,3,-72.69,-111.35,amune,1/31/2020,,,,,,,,
B38,6,4,-76.99,-155.08,rosse (grounded),1/31/2020,,,,,,,,
B39,8,4,-67.58,79.40,amere,1/31/2020,,,,,,,,
B40,8,5,-65.58,132.25,wilke,1/31/2020,,,,,,,,
B42,13,4,-73.05,-125.73,amunw (grounded),1/31/2020,,,,,,,,
B43,10,5,-71.54,-173.51,rossc,1/31/2020,,,,,,,,
B45,8,6,-74.70,-109.37,amune (grounded),1/31/2020,,,,,,,,
B46,10,4,-74.45,-105.58,amune,1/31/2020,,,,,,,,
B47,19,5,-73.75,-133.69,amunw,1/31/2020,,,,,,,,
C15,14,10,-66.04,143.38,wilke (grounded),1/31/2020,,,,,,,,
C18B,20,4,-65.46,113.85,wilkw (grounded),1/31/2020,,,,,,,,
C21B,12,8,-64.99,95.86,wilkw (grounded),1/31/2020,,,,,,,,
C24,11,3,-64.84,96.02,wilkw (grounded),1/31/2020,,,,,,,,
C29,5,5,-66.10,142.86,wilke (grounded),1/31/2020,,,,,,,,
C30,9,3,-64.78,96.30,wilkw (grounded),1/31/2020,,,,,,,,
C31,9,3,-64.69,96.51,wilkw (grounded),1/31/2020,,,,,,,,
C33,8,4,-66.38,143.97,wilke (grounded),1/31/2020,,,,,,,,
C34,11,5,-65.36,110.79,wilkw,1/31/2020,,,,,,,,
C35,12,5,-68.24,148.22,wilke (grounded),1/31/2020,,,,,,,,
C36,23,16,-68.11,147.85,wilke (grounded),1/31/2020,,,,,,,,
D15A,51,24,-66.65,81.92,amere (grounded),1/31/2020,,,,,,,,
D15B,33,12,-66.99,81.58,amere (grounded),1/31/2020,,,,,,,,
D20A,20,9,-68.71,36.29,amerw,1/31/2020,,,,,,,,
D21B,11,4,-75.88,-38.26,belle,1/31/2020,,,,,,,,
D23,8,6,-69.43,74.67,amere (grounded),1/31/2020,,,,,,,,
D26,19,2,-69.36,29.40,wedde (grounded),1/31/2020,,,,,,,,
D27,8,5,-67.27,81.87,amere (grounded),1/31/2020,,,,,,,,
D28,29,19,-67.80,71.35,amere (grounded),1/31/2020,,,,,,,,
,,,,,,,,,,,,,,
