Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,40,34,-75.77,-41.13,belle,11/12/2021
A63,7,3,-63.18,-50.96,belle,11/12/2021
A64,11,8,-67.25,-60.54,belle,11/12/2021
A69A,10,9,-66.99,-59.75,belle,11/12/2021
A69B,10,5,-66.77,-59.44,belle,11/12/2021
A70,8,5,-67.38,-60.15,belle,11/12/2021
A74,30,18,-77.09,-34.36,belle,11/12/2021
A76A,73,14,-72.92,-59.27,belle,11/12/2021
A76B,20,7,-73.93,-59.94,belle,11/12/2021
A76C,16,7,-70.66,-59.88,belle,11/12/2021
A77,27,4,-74.28,-27.05,weddw,11/12/2021
A78,18,4,-70.15,-4.53,weddw,11/12/2021
B09B,24,8,-66.27,143.40,wilke,11/12/2021
B09G,11,7,-68.19,41.82,amerw,11/12/2021
B09I,12,6,-60.00,-33.38,belle,11/12/2021
B15AB,11,4,-66.09,50.59,amerw,11/12/2021
B22A,38,24,-73.89,-109.40,amune (grounded),11/12/2021
B28,9,6,-74.65,-108.77,amune (grounded),11/12/2021
B29,11,5,-74.48,-108.92,amune (grounded),11/12/2021
B38,6,4,-77.01,-155.06,rosse (grounded),11/12/2021
B39,8,4,-74.05,-26.47,weddw,11/12/2021
B40,6,5,-65.63,132.13,wilke (grounded),11/12/2021
B42,12,4,-72.14,-149.82,amunw,11/12/2021
B45,7,6,-74.67,-109.32,amune (grounded),11/12/2021
B46,10,4,-72.12,-133.44,amune,11/12/2021
B47,12,5,-73.86,-134.08,amunw,11/12/2021
B50,15,6,-69.77,-166.43,rosse,11/12/2021
C15,12,8,-65.96,143.27,wilke,11/12/2021
C18B,19,4,-66.59,89.55,amere (grounded),11/12/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),11/12/2021
C24,11,2,-64.84,96.02,wilkw (grounded),11/12/2021
C29,5,5,-66.08,142.83,wilke,11/12/2021
C30,9,3,-64.78,96.30,wilkw (grounded),11/12/2021
C31,9,3,-64.68,96.51,wilkw (grounded),11/12/2021
C33,8,4,-65.42,126.60,wilke (grounded),11/12/2021
C35,7,5,-67.29,147.77,wilke,11/12/2021
C36,22,15,-67.94,147.48,wilke (grounded),11/12/2021
D15A,51,24,-66.64,81.91,amere (grounded),11/12/2021
D15B,33,12,-66.99,81.58,amere (grounded),11/12/2021
D20A,19,9,-69.26,28.28,wedde,11/12/2021
D23,8,6,-69.43,74.68,amere (grounded),11/12/2021
D26,19,2,-69.36,29.40,wedde (grounded),11/12/2021
D27,8,5,-68.55,31.89,amerw,11/12/2021
D28,29,19,-72.43,-18.73,weddw,11/12/2021
D29A,15,9,-72.82,-20.54,weddw,11/12/2021
D29B,13,7,-70.36,-8.44,weddw,11/12/2021
D29C,13,6,-72.40,-17.70,weddw,11/12/2021
D30A,37,11,-73.69,-26.38,weddw,11/12/2021
D30B,10,5,-71.55,-14.95,weddw,11/12/2021
