Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,40,34,-75.43,-40.07,belle,8/27/2021
A63,11,3,-64.15,-55.20,belle,8/27/2021
A64,11,8,-67.46,-61.02,belle,8/27/2021
A69A,10,9,-67.26,-60.54,belle,8/27/2021
A69B,10,7,-67.00,-60.10,belle,8/27/2021
A70,8,5,-67.81,-60.72,belle,8/27/2021
A74,30,18,-75.75,-28.78,weddw,8/27/2021
A76A,73,14,-74.10,-59.42,belle,8/27/2021
A76B,20,7,-73.97,-60.12,belle,8/27/2021
A76C,16,7,-72.87,-58.36,belle,8/27/2021
A77,27,4,-70.99,-14.03,weddw,8/27/2021
A78,18,4,-70.35,-4.03,weddw,8/27/2021
B09B,24,8,-66.27,143.40,wilke,8/27/2021
B09G,11,7,-68.19,41.82,amerw,8/27/2021
B09I,12,6,-63.56,-40.98,belle,8/27/2021
B15AB,11,4,-66.04,50.95,amerw (grounded),8/27/2021
B22A,38,24,-73.89,-109.40,amune (grounded),8/27/2021
B28,9,6,-74.65,-108.77,amune (grounded),8/27/2021
B29,11,5,-74.48,-108.92,amune (grounded),8/27/2021
B37,8,3,-72.35,-112.88,amune,8/27/2021
B38,6,4,-77.01,-155.06,rosse (grounded),8/27/2021
B39,8,4,-70.41,-8.85,weddw,8/27/2021
B40,6,5,-65.63,132.14,wilke (grounded),8/27/2021
B42,12,4,-74.38,-143.41,amunw,8/27/2021
B45,7,6,-74.67,-109.32,amune (grounded),8/27/2021
B46,10,4,-72.26,-122.56,amune,8/27/2021
B47,12,5,-73.82,-133.70,amunw,8/27/2021
B50,15,6,-74.27,-163.99,rosse,8/27/2021
C15,12,8,-65.97,143.27,wilke,8/27/2021
C18B,19,4,-66.59,89.55,amere (grounded),8/27/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),8/27/2021
C24,11,2,-64.84,96.02,wilkw (grounded),8/27/2021
C29,5,5,-66.08,142.83,wilke,8/27/2021
C30,9,3,-64.78,96.30,wilkw (grounded),8/27/2021
C31,9,3,-64.68,96.51,wilkw (grounded),8/27/2021
C33,8,4,-65.43,126.61,wilke (grounded),8/27/2021
C35,7,5,-67.29,147.93,wilke,8/27/2021
C36,22,15,-67.94,147.48,wilke (grounded),8/27/2021
D15A,51,24,-66.64,81.91,amere (grounded),8/27/2021
D15B,33,12,-66.99,81.58,amere (grounded),8/27/2021
D20A,19,9,-68.30,35.90,amerw,8/27/2021
D23,8,6,-69.43,74.68,amere (grounded),8/27/2021
D26,19,2,-69.36,29.40,wedde (grounded),8/27/2021
D27,8,5,-67.21,44.28,amerw,8/27/2021
D28,29,19,-69.43,-1.70,weddw,8/27/2021
D29A,15,9,-69.42,0.23,wedde,8/27/2021
D29B,13,7,-70.02,4.33,wedde,8/27/2021
D29C,13,6,-70.12,-4.00,weddw,8/27/2021
D30A,37,11,-70.34,-9.48,weddw,8/27/2021
D30B,10,5,-70.01,-3.94,weddw,8/27/2021
