ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-75.09,-57.49,1,2021147,-75.09,-57.49,1,20,7
-75.09,-57.49,1,2021148,-75.09,-57.49,1,20,7
-75.09,-57.49,0,2021149,-75.0862,-57.4773,0,0,0
-75.09,-57.49,1,2021150,-75.076,-57.4444,0,0,0
-75.0731,-57.4947,0,2021151,-75.0611,-57.3995,0,0,0
-75.0403,-57.4994,1,2021152,-75.0434,-57.3505,0,0,0
-74.9883,-57.4315,0,2021153,-75.0244,-57.3056,0,0,0
-74.9522,-57.3415,1,2021154,-75.006,-57.2727,0,0,0
-74.9554,-57.2997,0,2021155,-74.99,-57.26,1,20,7
-74.9619,-57.28,1,2021156,-74.9763,-57.2732,0,0,0
-74.9735,-57.3741,0,2021157,-74.9632,-57.3082,0,0,0
-74.9819,-57.4682,1,2021158,-74.9504,-57.3586,0,0,0
-74.9819,-57.4682,0,2021159,-74.9372,-57.4176,0,0,0
-74.9819,-57.4682,1,2021160,-74.9231,-57.4786,0,0,0
-74.9441,-57.5202,0,2021161,-74.9075,-57.5349,0,0,0
-74.8817,-57.6137,1,2021162,-74.89,-57.58,1,20,7
-74.8221,-57.731,0,2021163,-74.8679,-57.6146,0,0,0
-74.7843,-57.8069,1,2021164,-74.8404,-57.6451,0,0,0
-74.7811,-57.7444,0,2021165,-74.8097,-57.6733,0,0,0
-74.778,-57.6819,1,2021166,-74.7781,-57.7011,0,0,0
-74.7371,-57.7011,0,2021167,-74.7478,-57.7302,0,0,0
-74.6841,-57.7377,1,2021168,-74.7211,-57.7626,0,0,0
-74.6582,-57.7789,0,2021169,-74.7,-57.8,1,20,7
-74.6398,-57.8314,1,2021170,-74.6843,-57.8467,0,0,0
-74.6282,-57.899,0,2021171,-74.6712,-57.9032,0,0,0
-74.6172,-57.9819,1,2021172,-74.6598,-57.9657,0,0,0
-74.5965,-58.111,0,2021173,-74.6491,-58.0304,0,0,0
-74.5826,-58.196,1,2021174,-74.6379,-58.0935,0,0,0
-74.5993,-58.1776,0,2021175,-74.6252,-58.1513,0,0,0
-74.616,-58.1591,1,2021176,-74.61,-58.2,1,20,7
-74.529,-58.2079,0,2021177,-74.5909,-58.2393,0,0,0
-74.3773,-58.2567,1,2021178,-74.5681,-58.2729,0,0,0
-74.204,-58.0929,0,2021179,-74.5427,-58.3033,0,0,0
-74.0954,-57.929,1,2021180,-74.516,-58.3329,0,0,0
-74.1117,-57.949,0,2021181,-74.4892,-58.3639,0,0,0
-74.1509,-58.004,1,2021182,-74.4635,-58.3988,0,0,0
-74.2924,-58.5377,0,2021183,-74.44,-58.44,1,20,7
-74.4111,-59.0364,1,2021184,-74.4188,-58.4922,0,0,0
-74.3542,-59.0017,0,2021185,-74.3988,-58.556,0,0,0
-74.2973,-58.967,1,2021186,-74.3795,-58.6271,0,0,0
-74.2973,-58.967,0,2021187,-74.3605,-58.7012,0,0,0
-74.2973,-58.967,0,2021188,-74.3412,-58.7743,0,0,0
-74.2973,-58.967,1,2021189,-74.3212,-58.8419,0,0,0
-74.2973,-58.967,1,2021190,-74.3,-58.9,1,20,7
-74.2878,-58.9819,0,2021191,-74.2778,-58.9472,0,0,0
-74.2633,-59.021,0,2021192,-74.2551,-58.9872,0,0,0
-74.2294,-59.0763,0,2021193,-74.2317,-59.0236,0,0,0
-74.1919,-59.1395,0,2021194,-74.2076,-59.0596,0,0,0
-74.1565,-59.2026,0,2021195,-74.1827,-59.0988,0,0,0
-74.1291,-59.2573,1,2021196,-74.1569,-59.1444,0,0,0
-74.1102,-59.3048,1,2021197,-74.13,-59.2,1,20,7
-74.0811,-59.419,0,2021198,-74.0977,-59.2846,0,0,0
-74.0434,-59.5986,0,2021199,-74.0584,-59.4044,0,0,0
-74.0057,-59.7916,0,2021200,-74.0166,-59.5433,0,0,0
-73.9767,-59.9457,0,2021201,-73.9765,-59.6853,0,0,0
-73.9651,-60.0087,1,2021202,-73.9424,-59.8145,0,0,0
-73.9651,-60.0087,1,2021203,-73.9188,-59.9147,0,0,0
-73.9651,-60.0087,1,2021204,-73.91,-59.97,1,20,7
-73.9651,-60.0087,0,2021205,-73.913,-59.9963,0,0,0
-73.9651,-60.0087,0,2021206,-73.9209,-60.0199,0,0,0
-73.9651,-60.0087,1,2021207,-73.9318,-60.0402,0,0,0
-73.9651,-60.0087,1,2021208,-73.944,-60.0569,0,0,0
-73.9651,-60.0087,1,2021209,-73.9556,-60.0694,0,0,0
-73.9651,-60.0087,1,2021210,-73.9649,-60.0773,0,0,0
-73.9651,-60.0087,0,2021211,-73.97,-60.08,1,20,7
-73.9651,-60.0087,0,2021212,-73.9724,-60.08,0,0,0
-73.9651,-60.0087,0,2021213,-73.9745,-60.08,0,0,0
-73.9651,-60.0087,1,2021214,-73.9763,-60.08,0,0,0
-73.9651,-60.0087,1,2021215,-73.9779,-60.08,0,0,0
-73.9626,-59.9906,0,2021216,-73.979,-60.08,0,0,0
-73.9565,-59.9475,0,2021217,-73.9797,-60.08,0,0,0
-73.9494,-59.8959,0,2021218,-73.98,-60.08,1,20,7
-73.9433,-59.8528,0,2021219,-73.9761,-60.0706,0,0,0
-73.9408,-59.8347,1,2021220,-73.9661,-60.0463,0,0,0
-73.9408,-59.8347,1,2021221,-73.9524,-60.0131,0,0,0
-73.9408,-59.8347,1,2021222,-73.9376,-59.9769,0,0,0
-73.9442,-59.8469,0,2021223,-73.9239,-59.9437,0,0,0
-73.9516,-59.8739,0,2021224,-73.9139,-59.9194,0,0,0
-73.9589,-59.9008,0,2021225,-73.91,-59.91,1,20,7
-73.9623,-59.913,1,2021226,-73.9117,-59.9155,0,0,0
-73.8732,-59.8478,1,2021227,-73.9164,-59.93,0,0,0
-73.8732,-59.8478,1,2021228,-73.9229,-59.9508,0,0,0
-73.9212,-59.9568,1,2021229,-73.9305,-59.975,0,0,0
-73.9135,-59.9466,0,2021230,-73.9382,-59.9998,0,0,0
-73.8967,-59.9242,0,2021231,-73.945,-60.0224,0,0,0
-73.8799,-59.9018,0,2021232,-73.95,-60.04,1,20,7
-73.8722,-59.8916,1,2021233,-73.9539,-60.0541,0,0,0
-73.8722,-59.8916,1,2021234,-73.9579,-60.0678,0,0,0
-73.8722,-59.8916,1,2021235,-73.9616,-60.0808,0,0,0
-73.8744,-59.897,0,2021236,-73.9649,-60.0928,0,0,0
-73.8804,-59.9115,0,2021237,-73.9676,-60.1036,0,0,0
-73.8891,-59.9324,0,2021238,-73.9694,-60.1127,0,0,0
-73.8994,-59.9572,0,2021239,-73.97,-60.12,1,20,7
-73.9103,-59.9833,0,2021240,-73.9694,-60.1262,0,0,0
-73.9206,-60.0081,0,2021241,-73.968,-60.1323,0,0,0
-73.9293,-60.029,0,2021242,-73.9661,-60.1379,0,0,0
-73.9353,-60.0435,0,2021243,-73.9639,-60.1428,0,0,0
-73.9375,-60.0489,1,2021244,-73.962,-60.1466,0,0,0
-73.9375,-60.0489,1,2021245,-73.9606,-60.1491,0,0,0
-73.9375,-60.0489,1,2021246,-73.96,-60.15,1,20,7
-73.9375,-60.0489,0,2021247,-73.96,-60.15,0,0,0
-73.9375,-60.0489,0,2021248,-73.96,-60.15,0,0,0
-73.9375,-60.0489,0,2021249,-73.96,-60.15,0,0,0
-73.9375,-60.0489,1,2021250,-73.96,-60.15,0,0,0
-73.9375,-60.0489,1,2021251,-73.96,-60.15,0,0,0
-73.9375,-60.0489,1,2021252,-73.96,-60.15,0,0,0
-73.96,-60.15,1,2021253,-73.96,-60.15,1,20,7
-73.96,-60.15,1,2021254,-73.9594,-60.1545,0,0,0
-73.96,-60.15,1,2021255,-73.958,-60.1665,0,0,0
-74.0055,-60.2973,0,2021256,-73.9561,-60.1834,0,0,0
-74.051,-60.4446,1,2021257,-73.9539,-60.2026,0,0,0
-74.051,-60.4446,1,2021258,-73.952,-60.2218,0,0,0
-74.0352,-60.4142,0,2021259,-73.9506,-60.2385,0,0,0
-74.0005,-60.3473,0,2021260,-73.95,-60.25,1,20,7
-73.9658,-60.2804,0,2021261,-73.9511,-60.2582,0,0,0
-73.95,-60.25,1,2021262,-73.954,-60.2663,0,0,0
-73.95,-60.25,1,2021263,-73.9579,-60.2737,0,0,0
-73.95,-60.25,1,2021264,-73.9621,-60.2803,0,0,0
-73.95,-60.25,0,2021265,-73.966,-60.2854,0,0,0
-73.95,-60.25,0,2021266,-73.9689,-60.2888,0,0,0
-73.95,-60.25,0,2021267,-73.97,-60.29,1,20,7
-73.95,-60.25,0,2021268,-73.9689,-60.287,0,0,0
-73.95,-60.25,0,2021269,-73.966,-60.2788,0,0,0
-73.95,-60.25,0,2021270,-73.9621,-60.2669,0,0,0
-73.95,-60.25,1,2021271,-73.9579,-60.2527,0,0,0
-73.95,-60.2396,0,2021272,-73.954,-60.2375,0,0,0
-73.95,-60.2204,0,2021273,-73.9511,-60.2228,0,0,0
-73.95,-60.21,1,2021274,-73.95,-60.21,1,20,7
-73.95,-60.21,1,2021275,-73.9517,-60.1994,0,0,0
-73.95,-60.21,1,2021276,-73.9559,-60.19,0,0,0
-73.9547,-60.1975,0,2021277,-73.9618,-60.1808,0,0,0
-73.965,-60.17,0,2021278,-73.9682,-60.1711,0,0,0
-73.9753,-60.1425,0,2021279,-73.9741,-60.16,0,0,0
-73.98,-60.13,1,2021280,-73.9783,-60.1465,0,0,0
-73.98,-60.13,1,2021281,-73.98,-60.13,1,20,7
-73.98,-60.13,1,2021282,-73.9706,-60.0982,0,0,0
-73.9358,-60.1786,1,2021283,-73.9463,-60.0458,0,0,0
-73.9358,-60.1786,1,2021284,-73.9131,-59.9821,0,0,0
-73.8939,-60.2279,0,2021285,-73.8769,-59.9164,0,0,0
-73.8474,-60.2772,1,2021286,-73.8437,-59.8579,0,0,0
-73.8426,-60.2297,0,2021287,-73.8194,-59.816,0,0,0
-73.837,-60.1321,1,2021288,-73.81,-59.8,1,20,7
-73.7657,-59.9877,1,2021289,-73.8111,-59.8006,0,0,0
-73.7657,-59.9877,0,2021290,-73.814,-59.802,0,0,0
-73.7657,-59.9877,0,2021291,-73.8179,-59.8039,0,0,0
-73.7657,-59.9877,0,2021292,-73.8221,-59.8061,0,0,0
-73.7657,-59.9877,0,2021293,-73.826,-59.808,0,0,0
-73.7657,-59.9877,1,2021294,-73.8289,-59.8094,0,0,0
-73.83,-59.81,1,2021295,-73.83,-59.81,1,20,7
-73.83,-59.81,1,2021296,-73.8289,-59.81,0,0,0
-73.8297,-59.7909,0,2021297,-73.826,-59.81,0,0,0
-73.8291,-59.743,0,2021298,-73.8221,-59.81,0,0,0
-73.8282,-59.6808,0,2021299,-73.8179,-59.81,0,0,0
-73.8273,-59.6186,0,2021300,-73.814,-59.81,0,0,0
-73.8267,-59.5707,0,2021301,-73.8111,-59.81,0,0,0
-73.8264,-59.5516,1,2021302,-73.81,-59.81,1,20,7
-73.8447,-59.5738,0,2021303,-73.8135,-59.8122,0,0,0
-73.863,-59.5959,1,2021304,-73.8228,-59.8181,0,0,0
-73.863,-59.5959,0,2021305,-73.8359,-59.8268,0,0,0
-73.863,-59.5959,0,2021306,-73.851,-59.8373,0,0,0
-73.863,-59.5959,1,2021307,-73.8664,-59.8487,0,0,0
-73.9225,-59.7219,1,2021308,-73.88,-59.8599,0,0,0
-73.9225,-59.7219,1,2021309,-73.89,-59.87,1,20,7
-73.9225,-59.7219,1,2021310,-73.8978,-59.8807,0,0,0
-73.9256,-59.7248,0,2021311,-73.9057,-59.8933,0,0,0
-73.9334,-59.7323,0,2021312,-73.9132,-59.9066,0,0,0
-73.9442,-59.7426,0,2021313,-73.9199,-59.9192,0,0,0
-73.9559,-59.7537,0,2021314,-73.9252,-59.9299,0,0,0
-73.9667,-59.764,0,2021315,-73.9287,-59.9373,0,0,0
-73.9745,-59.7715,0,2021316,-73.93,-59.94,1,20,7
-73.9776,-59.7744,1,2021317,-73.9295,-59.9359,0,0,0
-73.9236,-59.5734,1,2021318,-73.9281,-59.9252,0,0,0
-73.9122,-59.6814,1,2021319,-73.9258,-59.9104,0,0,0
-73.9122,-59.6814,1,2021320,-73.9228,-59.894,0,0,0
-73.9122,-59.6814,1,2021321,-73.9191,-59.8785,0,0,0
-73.9116,-59.7707,0,2021322,-73.9148,-59.8663,0,0,0
-73.91,-59.86,1,2021323,-73.91,-59.86,1,20,7
-73.8805,-59.8132,0,2021324,-73.8997,-59.8579,0,0,0
-73.852,-59.7665,1,2021325,-73.8807,-59.8565,0,0,0
-73.852,-59.7665,1,2021326,-73.856,-59.8556,0,0,0
-73.8435,-59.7495,0,2021327,-73.8287,-59.8548,0,0,0
-73.8233,-59.7088,0,2021328,-73.8016,-59.8538,0,0,0
-73.7992,-59.6603,0,2021329,-73.7777,-59.8523,0,0,0
-73.779,-59.6196,0,2021330,-73.76,-59.85,1,20,7
-73.7705,-59.6026,1,2021331,-73.7474,-59.8363,0,0,0
-73.7705,-59.6026,1,2021332,-73.7366,-59.8047,0,0,0
-73.7705,-59.6026,1,2021333,-73.7269,-59.7612,0,0,0
-73.7705,-59.6026,1,2021334,-73.718,-59.7119,0,0,0
-73.7705,-59.6026,1,2021335,-73.7092,-59.663,0,0,0
-73.7081,-59.4002,1,2021336,-73.7,-59.6203,0,0,0
-73.6863,-59.4036,0,2021337,-73.69,-59.59,1,20,7
-73.6696,-59.4127,0,2021338,-73.6797,-59.5687,0,0,0
-73.6568,-59.4254,0,2021339,-73.6699,-59.5491,0,0,0
-73.6468,-59.4401,0,2021340,-73.6601,-59.5312,0,0,0
-73.6383,-59.4548,0,2021341,-73.6496,-59.5153,0,0,0
-73.6301,-59.4675,0,2021342,-73.6382,-59.5013,0,0,0
-73.6211,-59.4766,0,2021343,-73.6251,-59.4895,0,0,0
-73.61,-59.48,1,2021344,-73.61,-59.48,1,20,7
-73.5986,-59.4037,0,2021345,-73.5907,-59.4728,0,0,0
-73.5845,-59.3274,1,2021346,-73.5662,-59.4674,0,0,0
-73.5503,-59.3502,0,2021347,-73.5377,-59.4631,0,0,0
-73.5055,-59.3924,0,2021348,-73.5067,-59.459,0,0,0
-73.4832,-59.4152,1,2021349,-73.4742,-59.4543,0,0,0
-73.4832,-59.4152,1,2021350,-73.4415,-59.4482,0,0,0
-73.4832,-59.4152,1,2021351,-73.41,-59.44,1,20,7
-73.4108,-59.483,1,2021352,-73.3774,-59.4244,0,0,0
-73.3617,-59.4662,0,2021353,-73.3419,-59.3988,0,0,0
-73.315,-59.4229,0,2021354,-73.3052,-59.3663,0,0,0
-73.2726,-59.3636,0,2021355,-73.2689,-59.3301,0,0,0
-73.2363,-59.2991,0,2021356,-73.2348,-59.2932,0,0,0
-73.208,-59.2398,0,2021357,-73.2046,-59.2588,0,0,0
-73.1896,-59.1965,0,2021358,-73.18,-59.23,1,20,7
-73.1831,-59.1797,1,2021359,-73.1586,-59.2062,0,0,0
-73.1831,-59.1797,1,2021360,-73.1375,-59.1844,0,0,0
-73.1695,-58.9246,1,2021361,-73.1177,-59.1639,0,0,0
-73.1695,-58.9246,1,2021362,-73.1001,-59.1439,0,0,0
-73.1164,-59.0745,1,2021363,-73.0857,-59.1238,0,0,0
-73.1164,-59.0745,1,2021364,-73.0753,-59.1027,0,0,0
-73.07,-59.08,1,2021365,-73.07,-59.08,1,20,7
-72.9985,-59.1451,0,2022001,-73.0669,-59.0432,0,0,0
-72.9517,-59.2179,0,2022002,-73.0654,-59.0175,0,0,0
