ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-74.26,-130.28,1,2019263,-74.2667,-130.2833,1,19,5
-74.26,-130.28,1,2019264,0,0,0,0,0
-74.26,-130.28,1,2019265,0,0,0,0,0
-74.2234,-130.3227,1,2019266,0,0,0,0,0
-74.2234,-130.3227,1,2019267,0,0,0,0,0
-74.2234,-130.3227,1,2019268,0,0,0,0,0
-74.2234,-130.3227,1,2019269,0,0,0,0,0
-74.2533,-130.1731,1,2019270,-74.25,-130.4333,1,19,5
-74.3,-130.4653,1,2019271,0,0,0,0,0
-74.3,-130.4653,1,2019272,0,0,0,0,0
-74.3,-130.4653,1,2019273,-74.2366,-130.4136,0,0,0
-74.3,-130.4653,1,2019274,-74.2312,-130.403,0,0,0
-74.2277,-130.3361,1,2019275,-74.2259,-130.3932,0,0,0
-74.1013,-130.3305,1,2019276,-74.2209,-130.3861,0,0,0
-74.1242,-130.1607,1,2019277,-74.2167,-130.3833,1,19,5
-74.1242,-130.1607,1,2019278,0,0,0,0,0
-74.1242,-130.1607,1,2019279,0,0,0,0,0
-74.1242,-130.1607,1,2019280,0,0,0,0,0
-74.1242,-130.1607,1,2019281,0,0,0,0,0
-74.1242,-130.1607,1,2019282,0,0,0,0,0
-74.1242,-130.1607,1,2019283,0,0,0,0,0
-74.1693,-130.3035,1,2019284,0,0,0,0,0
-74.1921,-130.7569,1,2019285,0,0,0,0,0
-74.1921,-130.7569,1,2019286,0,0,0,0,0
-74.1921,-130.7569,1,2019287,0,0,0,0,0
-74.1921,-130.7569,1,2019288,0,0,0,0,0
-74.1921,-130.7569,1,2019289,0,0,0,0,0
-74.188,-131.0356,1,2019290,0,0,0,0,0
-74.188,-131.0356,1,2019291,0,0,0,0,0
-74.2306,-130.9381,1,2019292,0,0,0,0,0
-74.223,-130.8622,1,2019293,0,0,0,0,0
-74.223,-130.8622,1,2019294,0,0,0,0,0
-74.2053,-130.95,1,2019295,0,0,0,0,0
-74.2053,-130.95,1,2019296,0,0,0,0,0
-74.2242,-131.2035,1,2019297,0,0,0,0,0
-74.2242,-131.2035,1,2019298,0,0,0,0,0
