ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-71.14,-60.47,1,2022063,-71.14,-60.47,1,0,0
-71.14,-60.47,1,2022064,-71.123,-60.4663,0,0,0
-71.14,-60.47,1,2022065,-71.1092,-60.4636,0,0,0
-71.14,-60.47,1,2022066,-71.0982,-60.4619,0,0,0
-71.08,-60.46,1,2022067,-71.09,-60.4608,0,0,0
-71.08,-60.46,1,2022068,-71.0843,-60.4602,0,0,0
-71.08,-60.46,1,2022069,-71.081,-60.46,0,0,0
-71.0747,-60.4516,1,2022070,-71.08,-60.46,1,9.5,3
-71.0747,-60.4516,1,2022071,-71.0841,-60.4644,0,0,0
-71.0747,-60.4516,1,2022072,-71.0948,-60.4759,0,0,0
-71.0747,-60.4516,1,2022073,-71.1096,-60.4915,0,0,0
-71.0747,-60.4516,1,2022074,0,0,0,0,0
-71.0747,-60.4516,1,2022075,0,0,0,0,0
-71.1232,-60.4734,1,2022076,0,0,0,0,0
-71.1607,-60.4789,1,2022077,-71.16,-60.54,1,9.5,3
-71.2054,-60.4718,1,2022078,0,0,0,0,0
-71.2054,-60.4718,1,2022079,0,0,0,0,0
-71.2054,-60.4718,1,2022080,0,0,0,0,0
-71.2054,-60.4718,1,2022081,0,0,0,0,0
-71.17,-60.5,1,2022082,0,0,0,0,0
-71.17,-60.5,1,2022083,0,0,0,0,0
-71.17,-60.5,1,2022084,-71.17,-60.5,1,9.5,3
-71.17,-60.5,1,2022085,0,0,0,0,0
-71.1572,-60.5206,1,2022086,0,0,0,0,0
-71.1572,-60.5206,1,2022087,0,0,0,0,0
-71.1572,-60.5206,1,2022088,0,0,0,0,0
-71.17,-60.51,1,2022089,0,0,0,0,0
-71.17,-60.51,1,2022090,0,0,0,0,0
-71.17,-60.51,1,2022091,-71.17,-60.51,1,9.5,3
-71.17,-60.51,1,2022092,0,0,0,0,0
-71.17,-60.51,1,2022093,0,0,0,0,0
-71.17,-60.51,1,2022094,0,0,0,0,0
-71.17,-60.51,1,2022095,0,0,0,0,0
-71.17,-60.51,1,2022096,0,0,0,0,0
-71.17,-60.51,1,2022097,0,0,0,0,0
-71.17,-60.51,1,2022098,-71.17,-60.51,1,9.5,3
-71.17,-60.51,1,2022099,0,0,0,0,0
-71.17,-60.51,1,2022100,0,0,0,0,0
-71.17,-60.51,1,2022101,0,0,0,0,0
-71.17,-60.51,1,2022102,0,0,0,0,0
-71.17,-60.51,1,2022103,0,0,0,0,0
-71.17,-60.51,1,2022104,0,0,0,0,0
-71.17,-60.51,1,2022105,-71.17,-60.51,1,9.5,3
-71.0685,-60.4572,1,2022106,0,0,0,0,0
-71.0232,-60.3975,1,2022107,-71.1591,-60.5041,0,0,0
-71.0232,-60.3975,1,2022108,0,0,0,0,0
-71.0232,-60.3975,1,2022109,0,0,0,0,0
-71.0911,-60.3898,1,2022110,-71.1244,-60.4859,0,0,0
-71.0999,-60.4077,1,2022111,-71.1151,-60.4817,0,0,0
-71.11,-60.48,1,2022112,-71.11,-60.48,1,9.5,3
-71.11,-60.48,1,2022113,-71.1078,-60.48,0,0,0
-71.11,-60.48,1,2022114,-71.1061,-60.48,0,0,0
-71.11,-60.48,1,2022115,-71.1047,-60.48,0,0,0
-71.105,-60.48,0,2022116,0,0,0,0,0
-71.1,-60.48,1,2022117,0,0,0,0,0
-71.1,-60.48,1,2022118,0,0,0,0,0
-71.1,-60.48,1,2022119,-71.1,-60.48,1,9.5,3
-71.1,-60.48,1,2022120,-71.0984,-60.4806,0,0,0
-71.1,-60.48,1,2022121,-71.0966,-60.482,0,0,0
-71.1,-60.48,1,2022122,-71.0947,-60.4839,0,0,0
-71.1,-60.48,1,2022123,-71.0929,-60.4861,0,0,0
-71.1,-60.48,1,2022124,-71.0914,-60.488,0,0,0
-71.1,-60.48,1,2022125,-71.0904,-60.4894,0,0,0
-71.09,-60.49,1,2022126,-71.09,-60.49,1,9.5,3
-71.09,-60.49,1,2022127,-71.09,-60.489,0,0,0
-71.09,-60.49,1,2022128,-71.09,-60.4865,0,0,0
-71.09,-60.49,1,2022129,-71.09,-60.483,0,0,0
-71.09,-60.49,1,2022130,-71.09,-60.4791,0,0,0
-71.09,-60.49,1,2022131,-71.09,-60.4752,0,0,0
-71.09,-60.49,1,2022132,-71.09,-60.472,0,0,0
-71.09,-60.49,1,2022133,-71.09,-60.47,1,9.5,3
-71.09,-60.49,1,2022134,0,0,0,0,0
-71.09,-60.49,1,2022135,0,0,0,0,0
-71.09,-60.49,1,2022136,0,0,0,0,0
-71.09,-60.49,1,2022137,0,0,0,0,0
-71.09,-60.49,1,2022138,0,0,0,0,0
-71.09,-60.49,1,2022139,0,0,0,0,0
-71.09,-60.49,0,2022140,0,0,0,0,0
-71.09,-60.49,0,2022141,0,0,0,0,0
-71.09,-60.49,0,2022142,0,0,0,0,0
-71.09,-60.49,0,2022143,0,0,0,0,0
-71.09,-60.49,0,2022144,0,0,0,0,0
-71.09,-60.49,0,2022145,0,0,0,0,0
-71.09,-60.49,0,2022146,0,0,0,0,0
-71.09,-60.49,0,2022147,-71.02,-60.46,1,9.5,3
-71.09,-60.49,1,2022148,0,0,0,0,0
-71.09,-60.49,1,2022149,0,0,0,0,0
-71.09,-60.49,1,2022150,0,0,0,0,0
-71.09,-60.49,1,2022151,0,0,0,0,0
-71.09,-60.49,1,2022152,0,0,0,0,0
-71.09,-60.49,1,2022153,0,0,0,0,0
-71.09,-60.49,1,2022154,0,0,0,0,0
-71.09,-60.49,1,2022155,0,0,0,0,0
-71.09,-60.49,1,2022156,0,0,0,0,0
-71.09,-60.49,1,2022157,0,0,0,0,0
-71.09,-60.49,1,2022158,0,0,0,0,0
-71.09,-60.49,1,2022159,0,0,0,0,0
-71.09,-60.49,1,2022160,0,0,0,0,0
