ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-69.7914,21.1861,1,2015132,0,0,0,0,0
-69.6773,20.3218,1,2015133,0,0,0,0,0
-69.6448,19.8005,1,2015134,0,0,0,0,0
-69.5157,18.2226,1,2015135,-69.98,21.78,1,11,2
-69.4799,18.0136,1,2015136,-69.8417,20.5222,0,0,0
-69.4345,17.1677,1,2015137,-69.709,19.3161,0,0,0
-69.3619,16.8989,1,2015138,-69.5877,18.2133,0,0,0
-69.3739,16.5256,1,2015139,-69.4835,17.2657,0,0,0
-69.3209,16.0997,1,2015140,-69.402,16.5248,0,0,0
-69.3553,15.8061,1,2015141,-69.349,16.0423,0,0,0
-69.3553,15.8061,1,2015142,-69.33,15.87,1,11,2
-69.3553,15.8061,1,2015143,-69.33,15.87,0,0,0
-69.3936,15.8369,1,2015144,-69.33,15.87,0,0,0
-69.4108,15.8511,1,2015145,-69.33,15.87,0,0,0
-69.3748,15.7045,1,2015146,-69.33,15.87,0,0,0
-69.3324,15.7584,1,2015147,-69.33,15.87,0,0,0
-69.374,15.8508,1,2015148,-69.33,15.87,0,0,0
-69.3565,15.7483,1,2015149,-69.33,15.87,1,11,2
-69.3584,15.8674,1,2015150,-69.3301,15.8699,0,0,0
-69.3725,15.8202,1,2015151,-69.3303,15.8697,0,0,0
-69.3192,15.6602,1,2015152,-69.3307,15.8693,0,0,0
-69.3736,15.762,1,2015153,-69.3312,15.8688,0,0,0
-69.3429,15.8843,1,2015154,-69.3318,15.8682,0,0,0
-69.357,15.8542,1,2015155,-69.3325,15.8675,0,0,0
-69.357,15.8542,1,2015156,-69.3333,15.8667,1,11,2
-69.357,15.8542,1,2015157,-69.3348,15.8657,0,0,0
-69.3309,15.7279,1,2015158,-69.3374,15.8644,0,0,0
-69.3309,15.7279,1,2015159,-69.3406,15.8625,0,0,0
-69.3309,15.7279,1,2015160,-69.344,15.8603,0,0,0
-69.3309,15.7279,1,2015161,-69.347,15.8574,0,0,0
-69.3309,15.7279,1,2015162,-69.3492,15.854,0,0,0
-69.3309,15.7279,1,2015163,-69.35,15.85,1,11,2
-69.3523,15.7453,1,2015164,-69.35,15.8404,0,0,0
-69.3523,15.7453,1,2015165,-69.35,15.8221,0,0,0
-69.3523,15.7453,1,2015166,-69.35,15.7972,0,0,0
-69.3523,15.7453,1,2015167,-69.35,15.7682,0,0,0
-69.3785,15.6192,1,2015168,-69.35,15.7374,0,0,0
-69.3412,15.5313,1,2015169,-69.35,15.7072,0,0,0
-69.2851,15.3999,1,2015170,-69.35,15.68,1,11,2
-69.2851,15.3999,0,2015171,-69.3472,15.6517,0,0,0
-69.2851,15.3999,1,2015172,-69.3401,15.6188,0,0,0
-69.2851,15.3999,1,2015173,-69.3303,15.5847,0,0,0
-69.2851,15.3999,1,2015174,-69.3197,15.5525,0,0,0
-69.2851,15.3999,1,2015175,-69.3099,15.5255,0,0,0
-69.2851,15.3999,1,2015176,-69.3028,15.5069,0,0,0
-69.2851,15.3999,1,2015177,-69.3,15.5,1,11,2
-69.2851,15.3999,1,2015178,-69.3,15.5,0,0,0
-69.2851,15.3999,1,2015179,-69.3,15.5,0,0,0
-69.2851,15.3999,1,2015180,-69.3,15.5,0,0,0
-69.2851,15.3999,1,2015181,-69.3,15.5,0,0,0
-69.2851,15.3999,1,2015182,-69.3,15.5,0,0,0
-69.3286,15.5217,1,2015183,-69.3,15.5,0,0,0
-69.3286,15.5217,1,2015184,-69.3,15.5,1,11,2
-69.3286,15.5217,1,2015185,-69.3,15.5,0,0,0
-69.3286,15.5217,1,2015186,-69.3,15.5,0,0,0
-69.3286,15.5217,1,2015187,-69.3,15.5,0,0,0
-69.3107,15.4198,1,2015188,-69.3,15.5,0,0,0
-69.3107,15.4198,1,2015189,-69.3,15.5,0,0,0
-69.3107,15.4198,1,2015190,-69.3,15.5,0,0,0
-69.2644,15.4714,1,2015191,-69.3,15.5,1,11,2
-69.2644,15.4714,1,2015192,-69.3,15.5,0,0,0
-69.2644,15.4714,1,2015193,-69.3,15.5,0,0,0
-69.2644,15.4714,0,2015194,-69.3,15.5,0,0,0
-69.2644,15.4714,1,2015195,-69.3,15.5,0,0,0
-69.2644,15.4714,1,2015196,-69.3,15.5,0,0,0
-69.2644,15.4714,1,2015197,-69.3,15.5,0,0,0
-69.2644,15.4714,1,2015198,-69.3,15.5,1,11,2
-69.2644,15.4714,1,2015199,0,0,0,0,0
-69.2741,15.4205,1,2015200,0,0,0,0,0
-69.2741,15.4205,1,2015201,0,0,0,0,0
-69.2747,15.5086,1,2015202,0,0,0,0,0
-69.2747,15.5086,1,2015203,0,0,0,0,0
-69.3169,15.4536,1,2015204,0,0,0,0,0
-69.3169,15.4536,1,2015205,0,0,0,0,0
-69.3169,15.4536,1,2015206,0,0,0,0,0
-69.3169,15.4536,1,2015207,0,0,0,0,0
-69.3169,15.4536,1,2015208,0,0,0,0,0
-69.3169,15.4536,1,2015209,0,0,0,0,0
-69.3169,15.4536,1,2015210,0,0,0,0,0
-69.3169,15.4536,1,2015211,0,0,0,0,0
-69.3169,15.4536,1,2015212,-69.3,15.5,1,11,2
-69.3169,15.4536,1,2015213,-69.3,15.5,0,0,0
-69.3169,15.4536,1,2015214,-69.3,15.5,0,0,0
-69.3169,15.4536,1,2015215,-69.3,15.5,0,0,0
-69.3169,15.4536,1,2015216,-69.3,15.5,0,0,0
-69.3169,15.4536,1,2015217,-69.3,15.5,0,0,0
-69.3169,15.4536,1,2015218,-69.3,15.5,0,0,0
-69.2927,15.4643,1,2015219,-69.3,15.5,1,11,2
-69.2927,15.4643,1,2015220,-69.3,15.5,0,0,0
-69.3354,15.4977,1,2015221,-69.3,15.5,0,0,0
-69.3354,15.4977,1,2015222,-69.3,15.5,0,0,0
-69.314,15.4809,1,2015223,-69.3,15.5,0,0,0
-69.3328,15.525,1,2015224,-69.3,15.5,0,0,0
-69.3328,15.525,1,2015225,-69.3,15.5,0,0,0
-69.3162,15.9223,1,2015226,-69.3,15.5,1,11,2
-69.2729,15.7107,1,2015227,0,0,0,0,0
-69.2729,15.7107,1,2015228,0,0,0,0,0
-69.2853,15.5953,0,2015229,0,0,0,0,0
-69.2978,15.4799,1,2015230,0,0,0,0,0
-69.2978,15.4799,1,2015231,0,0,0,0,0
-69.2978,15.4799,1,2015232,0,0,0,0,0
-69.2978,15.4799,1,2015233,0,0,0,0,0
-69.2978,15.4799,1,2015234,0,0,0,0,0
-69.2978,15.4799,1,2015235,0,0,0,0,0
-69.2978,15.4799,1,2015236,0,0,0,0,0
-69.2978,15.4799,1,2015237,0,0,0,0,0
-69.2978,15.4799,1,2015238,0,0,0,0,0
-69.3064,15.4969,1,2015239,0,0,0,0,0
-69.3064,15.4969,1,2015240,-69.3,15.5,1,11,2
-69.3064,15.4969,1,2015241,-69.3,15.5,0,0,0
-69.3064,15.4969,1,2015242,-69.3,15.5,0,0,0
-69.3064,15.4969,1,2015243,-69.3,15.5,0,0,0
-69.3064,15.4969,1,2015244,-69.3,15.5,0,0,0
-69.3064,15.4969,1,2015245,-69.3,15.5,0,0,0
-69.3064,15.4969,1,2015246,-69.3,15.5,0,0,0
-69.3064,15.4969,0,2015247,-69.3,15.5,1,11,2
-69.3064,15.4969,1,2015248,-69.3,15.5,0,0,0
-69.3064,15.4969,1,2015249,-69.3,15.5,0,0,0
-69.3064,15.4969,1,2015250,-69.3,15.5,0,0,0
-69.3064,15.4969,1,2015251,-69.3,15.5,0,0,0
-69.3064,15.4969,0,2015252,-69.3,15.5,0,0,0
-69.3064,15.4969,1,2015253,-69.3,15.5,0,0,0
-69.3064,15.4969,1,2015254,-69.3,15.5,1,11,2
-69.3064,15.4969,1,2015255,-69.3,15.5,0,0,0
-69.3064,15.4969,1,2015256,-69.3,15.5,0,0,0
-69.3064,15.4969,1,2015257,-69.3,15.5,0,0,0
