ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-70.0305,162.5915,1,2016108,-70.05,162.5333,0,0,0
-70.0305,162.5915,1,2016109,-70.05,162.5333,0,0,0
-70.0305,162.5915,0,2016110,-70.05,162.5333,0,0,0
-70.0305,162.5915,1,2016111,-70.05,162.5333,0,0,0
-70.0305,162.5915,1,2016112,-70.05,162.5333,0,0,0
-70.0305,162.5915,1,2016113,-70.05,162.5333,1,7,5
-70.0305,162.5915,1,2016114,-70.05,162.5333,0,0,0
-70.0305,162.5915,1,2016115,-70.05,162.5333,0,0,0
-70.0305,162.5915,0,2016116,-70.05,162.5333,0,0,0
-70.0305,162.5915,1,2016117,-70.05,162.5333,0,0,0
-70.0305,162.5915,1,2016118,-70.05,162.5333,0,0,0
-70.0218,162.6022,1,2016119,-70.05,162.5333,0,0,0
-70.0218,162.6022,1,2016120,-70.05,162.5333,1,7,5
-70.0508,162.5755,1,2016121,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016122,-70.05,162.5333,0,0,0
-70.0315,162.5933,0,2016123,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016124,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016125,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016126,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016127,-70.05,162.5333,1,7,5
-70.0315,162.5933,1,2016128,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016129,-70.05,162.5333,0,0,0
-70.0315,162.5933,0,2016130,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016131,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016132,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016133,-70.05,162.5333,0,0,0
-70.0315,162.5933,0,2016134,-70.05,162.5333,1,0,0
-70.0315,162.5933,0,2016135,-70.05,162.5333,0,0,0
-70.0315,162.5933,0,2016136,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016137,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016138,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016139,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016140,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016141,-70.05,162.5333,1,7,5
-70.0315,162.5933,1,2016142,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016143,-70.05,162.5333,0,0,0
-70.0315,162.5933,0,2016144,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016145,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016146,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016147,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016148,-70.05,162.5333,1,7,5
-70.0315,162.5933,1,2016149,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016150,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016151,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016152,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016153,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016154,-70.05,162.5333,0,0,0
-70.0315,162.5933,0,2016155,-70.05,162.5333,1,7,5
-70.0315,162.5933,1,2016156,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016157,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016158,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016159,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016160,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016161,-70.05,162.5333,0,0,0
-70.0315,162.5933,0,2016162,-70.05,162.5333,1,7,5
-70.0315,162.5933,1,2016163,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016164,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016165,-70.05,162.5333,0,0,0
0,0,0,2016166,-70.05,162.5333,0,0,0
0,0,0,2016167,-70.05,162.5333,0,0,0
0,0,0,2016168,-70.05,162.5333,0,0,0
0,0,0,2016169,-70.05,162.5333,1,7,5
0,0,0,2016170,-70.05,162.5333,0,0,0
0,0,0,2016171,-70.05,162.5333,0,0,0
0,0,0,2016172,-70.05,162.5333,0,0,0
0,0,0,2016173,-70.05,162.5333,0,0,0
0,0,0,2016174,-70.05,162.5333,0,0,0
0,0,0,2016175,-70.05,162.5333,0,0,0
0,0,0,2016176,-70.05,162.5333,1,7,5
0,0,0,2016177,-70.05,162.5333,0,0,0
0,0,0,2016178,-70.05,162.5333,0,0,0
0,0,0,2016179,-70.05,162.5333,0,0,0
0,0,0,2016180,-70.05,162.5333,0,0,0
0,0,0,2016181,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016182,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016183,-70.05,162.5333,1,7,5
-70.0315,162.5933,1,2016184,-70.05,162.5333,0,0,0
-70.0315,162.5933,0,2016185,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016186,-70.05,162.5333,0,0,0
-70.0315,162.5933,0,2016187,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016188,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016189,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016190,-70.05,162.5333,1,7,5
-70.0315,162.5933,1,2016191,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016192,-70.05,162.5333,0,0,0
-70.0315,162.5933,1,2016193,-70.05,162.5333,0,0,0
-70.0395,162.5463,0,2016194,-70.05,162.5333,0,0,0
-70.0522,162.4894,1,2016195,-70.05,162.5333,0,0,0
-70.0607,162.4761,1,2016196,-70.05,162.5333,0,0,0
-70.0607,162.4761,1,2016197,-70.05,162.5333,1,7,5
-70.0607,162.4761,1,2016198,0,0,0,0,0
-70.0385,162.4674,1,2016199,0,0,0,0,0
-70.0323,162.5023,1,2016200,0,0,0,0,0
-70.0323,162.5023,1,2016201,0,0,0,0,0
-70.0323,162.5023,1,2016202,0,0,0,0,0
-70.0323,162.5023,1,2016203,0,0,0,0,0
-70.0323,162.5023,1,2016204,0,0,0,0,0
-70.0323,162.5023,1,2016205,0,0,0,0,0
-70.0323,162.5023,1,2016206,0,0,0,0,0
-70.0118,162.6087,1,2016207,0,0,0,0,0
-70.0332,162.6077,0,2016208,0,0,0,0,0
-70.0546,162.6042,1,2016209,0,0,0,0,0
-70.0426,162.4984,1,2016210,0,0,0,0,0
-70.0515,162.5313,0,2016211,-70.05,162.5333,1,7,5
-70.0603,162.5642,1,2016212,-70.05,162.5333,0,0,0
-70.0573,162.5433,1,2016213,-70.05,162.5333,0,0,0
-70.0613,162.4756,0,2016214,-70.05,162.5333,0,0,0
-70.0652,162.4189,1,2016215,-70.05,162.5333,0,0,0
-70.0327,162.4143,1,2016216,-70.05,162.5333,0,0,0
-70.0192,162.4796,1,2016217,-70.05,162.5333,0,0,0
-70.0449,162.5199,1,2016218,-70.05,162.5333,1,7,5
-70.0449,162.5199,1,2016219,-70.05,162.5333,0,0,0
-70.0449,162.5199,1,2016220,-70.05,162.5333,0,0,0
-70.027,162.551,0,2016221,-70.05,162.5333,0,0,0
-70.009,162.5821,1,2016222,-70.05,162.5333,0,0,0
-70.0296,162.5688,1,2016223,-70.05,162.5333,0,0,0
-70.0676,162.5337,1,2016224,-70.05,162.5333,0,0,0
-70.0447,162.5256,1,2016225,-70.05,162.5333,1,7,5
-70.0391,162.4668,1,2016226,-70.05,162.5324,0,0,0
-70.0546,162.511,1,2016227,-70.05,162.53,0,0,0
-70.0445,162.5244,0,2016228,-70.05,162.5268,0,0,0
-70.0345,162.5295,1,2016229,-70.05,162.5232,0,0,0
-70.0614,162.4755,1,2016230,-70.05,162.52,0,0,0
-70.0548,162.4629,0,2016231,-70.05,162.5176,0,0,0
-70.0481,162.4584,1,2016232,-70.05,162.5167,1,7,5
-70.0636,162.5027,1,2016233,-70.05,162.5167,0,0,0
-70.051,162.485,1,2016234,-70.05,162.5167,0,0,0
-70.051,162.485,0,2016235,-70.05,162.5167,0,0,0
-70.051,162.485,1,2016236,-70.05,162.5167,0,0,0
-70.051,162.485,1,2016237,-70.05,162.5167,0,0,0
-70.0573,162.4938,0,2016238,-70.05,162.5167,0,0,0
-70.0636,162.5027,1,2016239,-70.05,162.5167,1,0,0
-70.0636,162.5027,1,2016240,-70.05,162.5167,0,0,0
-70.0636,162.5027,1,2016241,-70.05,162.5167,0,0,0
-70.0636,162.5027,1,2016242,-70.05,162.5167,0,0,0
-70.0254,162.4941,0,2016243,-70.05,162.5167,0,0,0
-69.9872,162.4855,1,2016244,-70.05,162.5167,0,0,0
-70.033,162.5017,1,2016245,-70.05,162.5167,0,0,0
-70.0278,162.5084,0,2016246,-70.05,162.5167,1,7,5
-70.0226,162.5112,1,2016247,-70.05,162.5167,0,0,0
-70.0226,162.5112,1,2016248,-70.05,162.5167,0,0,0
-70.0363,162.4402,1,2016249,-70.05,162.5167,0,0,0
-70.0476,162.52,0,2016250,-70.05,162.5167,0,0,0
-70.0534,162.5997,1,2016251,-70.05,162.5167,0,0,0
-70.0426,162.4984,1,2016252,-70.05,162.5167,0,0,0
-70.0409,162.582,1,2016253,-70.05,162.5167,1,7,5
-70.0357,162.5339,1,2016254,-70.05,162.5167,0,0,0
-70.0503,162.5299,0,2016255,-70.05,162.5167,0,0,0
-70.0671,162.5287,1,2016256,-70.05,162.5167,0,0,0
-70.0698,162.561,1,2016257,-70.05,162.5167,0,0,0
-70.061,162.5589,0,2016258,-70.05,162.5167,0,0,0
-70.0476,162.5522,1,2016259,-70.05,162.5167,0,0,0
-70.0397,162.4718,1,2016260,-70.05,162.5167,1,7,5
-70.0431,162.4047,1,2016261,-70.05,162.5167,0,0,0
-70.0601,162.471,1,2016262,-70.05,162.5167,0,0,0
-70.057,162.4677,0,2016263,-70.05,162.5167,0,0,0
-70.0512,162.4617,0,2016264,-70.05,162.5167,0,0,0
-70.0481,162.4584,1,2016265,-70.05,162.5167,0,0,0
-70.0481,162.4584,1,2016266,-70.05,162.5167,0,0,0
-70.0481,162.4584,1,2016267,-70.05,162.5167,1,7,5
-70.0481,162.4584,1,2016268,-70.05,162.5167,0,0,0
-70.0481,162.4584,1,2016269,-70.05,162.5167,0,0,0
-70.0481,162.4584,1,2016270,-70.05,162.5167,0,0,0
-70.0481,162.4584,1,2016271,-70.05,162.5167,0,0,0
-70.0481,162.4584,1,2016272,-70.05,162.5167,0,0,0
-70.0481,162.4584,1,2016273,-70.05,162.5167,0,0,0
-70.0481,162.4584,1,2016274,-70.05,162.5167,1,7,5
-70.0481,162.4584,1,2016275,-70.05,162.5167,0,0,0
-70.0587,162.5072,0,2016276,-70.05,162.5167,0,0,0
-70.0693,162.5559,1,2016277,-70.05,162.5167,0,0,0
-70.0447,162.5256,1,2016278,-70.05,162.5167,0,0,0
-70.0531,162.4936,0,2016279,-70.05,162.5167,0,0,0
-70.0614,162.4755,1,2016280,-70.05,162.5167,0,0,0
-70.0539,162.5116,1,2016281,-70.05,162.5167,1,7,5
-70.0539,162.5116,1,2016282,-70.05,162.5167,0,0,0
-70.0622,162.4894,0,2016283,-70.05,162.5167,0,0,0
-70.0704,162.4671,1,2016284,-70.05,162.5167,0,0,0
-70.0704,162.4671,1,2016285,-70.05,162.5167,0,0,0
-70.065,162.4721,0,2016286,-70.05,162.5167,0,0,0
-70.0511,162.485,0,2016287,-70.05,162.5167,0,0,0
-70.0317,162.5029,1,2016288,-70.05,162.5167,1,7,5
-69.9936,162.5379,1,2016289,-70.05,162.5167,0,0,0
-70.0273,162.4485,1,2016290,-70.05,162.5167,0,0,0
-70.046,162.4798,0,2016291,-70.05,162.5167,0,0,0
-70.0546,162.511,1,2016292,-70.05,162.5167,0,0,0
-70.0317,162.5029,1,2016293,-70.05,162.5167,0,0,0
-70.0397,162.5247,0,2016294,-70.05,162.5167,0,0,0
-70.0477,162.5465,1,2016295,-70.05,162.5167,1,7,5
-70.0329,162.5073,1,2016296,-70.05,162.5167,0,0,0
-70.0585,162.4489,1,2016297,-70.05,162.5167,0,0,0
-70.0926,162.4758,1,2016298,-70.05,162.5167,0,0,0
-70.0492,162.5744,1,2016299,-70.05,162.5167,0,0,0
-70.0476,162.6204,0,2016300,-70.05,162.5167,0,0,0
-70.0471,162.6403,1,2016301,-70.05,162.5167,0,0,0
-70.0494,162.4629,1,2016302,-70.05,162.5167,1,7,5
-70.0732,162.4937,1,2016303,-70.05,162.5167,0,0,0
-70.0374,162.5561,1,2016304,-70.05,162.5167,0,0,0
-70.0443,162.5722,0,2016305,-70.05,162.5167,0,0,0
-70.0511,162.5782,1,2016306,-70.05,162.5167,0,0,0
-70.0511,162.5782,1,2016307,-70.05,162.5167,0,0,0
-70.0511,162.5782,1,2016308,-70.05,162.5167,0,0,0
-70.0397,162.4718,1,2016309,-70.05,162.5167,1,7,5
-70.042,162.4933,1,2016310,-70.05,162.5167,0,0,0
-70.0603,162.5642,1,2016311,-70.05,162.5167,0,0,0
-70.0778,162.5159,0,2016312,-70.05,162.5167,0,0,0
-70.0874,162.4276,1,2016313,-70.05,162.5167,0,0,0
-70.0553,162.3348,1,2016314,-70.05,162.5167,0,0,0
-70.0214,162.5068,1,2016315,-70.05,162.5167,0,0,0
-70.0442,162.5235,0,2016316,-70.05,162.5167,1,7,5
-70.0671,162.5287,1,2016317,-70.05,162.5167,0,0,0
-70.0361,162.4459,1,2016318,-70.05,162.5167,0,0,0
-70.0201,162.483,0,2016319,-70.05,162.5167,0,0,0
-70.013,162.5201,1,2016320,-70.05,162.5167,0,0,0
-70.0614,162.4755,1,2016321,-70.05,162.5167,0,0,0
-70.1067,162.451,0,2016322,-70.05,162.5167,0,0,0
-70.1313,162.4399,1,2016323,-70.05,162.5167,1,7,5
-70.0661,162.4418,1,2016324,-70.05,162.5167,0,0,0
-70.0248,162.5384,1,2016325,-70.05,162.5167,0,0,0
-70.0295,162.515,0,2016326,-70.05,162.5167,0,0,0
-70.0391,162.4668,1,2016327,-70.05,162.5167,0,0,0
-70.0527,162.3957,1,2016328,-70.05,162.5167,0,0,0
-70.0795,162.4531,1,2016329,-70.05,162.5167,0,0,0
-70.0675,162.4405,1,2016330,-70.05,162.5167,1,7,5
-70.0345,162.5295,1,2016331,-70.05,162.5167,0,0,0
-70.0614,162.4755,1,2016332,-70.05,162.5167,0,0,0
-70.0578,162.4495,1,2016333,-70.05,162.5167,0,0,0
-70.0578,162.4495,1,2016334,-70.05,162.5167,0,0,0
-70.0515,162.4407,0,2016335,-70.05,162.5167,0,0,0
-70.0453,162.4319,1,2016336,-70.05,162.5167,0,0,0
-70.0453,162.4319,1,2016337,-70.05,162.5167,1,7,5
-70.0191,162.4853,1,2016338,-70.05,162.5167,0,0,0
-70.0341,162.6175,1,2016339,-70.05,162.5167,0,0,0
-70.0487,162.6281,0,2016340,-70.05,162.5167,0,0,0
-70.0568,162.6314,1,2016341,-70.05,162.5167,0,0,0
-70.0386,162.5605,1,2016342,-70.05,162.5167,0,0,0
-70.0784,162.4359,1,2016343,-70.05,162.5167,0,0,0
-70.059,162.4968,0,2016344,-70.05,162.5167,1,7,5
-70.0395,162.5577,1,2016345,-70.05,162.5167,0,0,0
-70.0395,162.5577,1,2016346,-70.05,162.5167,0,0,0
-70.0395,162.5577,1,2016347,-70.05,162.5167,0,0,0
-70.0578,162.5099,1,2016348,-70.05,162.5167,0,0,0
-70.0578,162.5099,1,2016349,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016350,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016351,-70.05,162.5167,1,7,5
-70.051,162.5779,1,2016352,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016353,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016354,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016355,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016356,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016357,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016358,-70.05,162.5167,1,7,5
-70.051,162.5779,1,2016359,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016360,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016361,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016362,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016363,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016364,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2016365,-70.05,162.5167,1,7,5
-70.051,162.5779,1,2016366,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017001,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017002,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017003,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017004,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017005,-70.05,162.5167,0,0,0
-70.051,162.5779,0,2017006,-70.05,162.5167,1,7,5
-70.051,162.5779,1,2017007,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017008,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017009,-70.05,162.5167,0,0,0
-70.051,162.5779,0,2017010,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017011,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017012,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017013,-70.05,162.5167,1,7,5
-70.051,162.5779,1,2017014,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017015,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017016,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017017,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017018,-70.05,162.5167,0,0,0
-70.051,162.5779,0,2017019,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017020,-70.05,162.5167,1,7,5
-70.051,162.5779,1,2017021,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017022,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017023,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017024,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017025,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017026,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017027,-70.05,162.5167,1,7,5
-70.051,162.5779,0,2017028,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017029,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017030,-70.05,162.5167,0,0,0
-70.051,162.5779,0,2017031,-70.05,162.5167,0,0,0
-70.051,162.5779,0,2017032,-70.05,162.5167,0,0,0
-70.051,162.5779,0,2017033,-70.05,162.5167,0,0,0
-70.051,162.5779,0,2017034,-70.05,162.5167,1,7,5
-70.051,162.5779,0,2017035,-70.05,162.5167,0,0,0
-70.051,162.5779,0,2017036,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017037,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017038,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017039,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017040,-70.05,162.5167,0,0,0
-70.051,162.5779,0,2017041,-70.05,162.5167,1,7,5
-70.051,162.5779,0,2017042,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017043,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017044,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017045,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017046,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017047,-70.05,162.5167,0,0,0
-70.051,162.5779,1,2017048,-70.05,162.5167,1,7,5
-70.051,162.5779,1,2017049,0,0,0,0,0
-70.051,162.5779,1,2017050,0,0,0,0,0
-70.051,162.5779,1,2017051,0,0,0,0,0
-70.051,162.5779,1,2017052,0,0,0,0,0
-70.051,162.5779,1,2017053,0,0,0,0,0
-70.051,162.5779,1,2017054,0,0,0,0,0
-70.051,162.5779,1,2017055,0,0,0,0,0
-70.051,162.5779,1,2017056,0,0,0,0,0
-70.051,162.5779,1,2017057,0,0,0,0,0
-70.051,162.5779,1,2017058,0,0,0,0,0
-70.051,162.5779,1,2017059,0,0,0,0,0
-70.051,162.5779,1,2017060,0,0,0,0,0
-70.051,162.5779,1,2017061,0,0,0,0,0
-70.051,162.5779,1,2017062,0,0,0,0,0
-70.051,162.5779,1,2017063,0,0,0,0,0
-70.051,162.5779,1,2017064,0,0,0,0,0
-70.051,162.5779,1,2017065,0,0,0,0,0
-70.051,162.5779,0,2017066,0,0,0,0,0
-70.051,162.5779,1,2017067,0,0,0,0,0
-70.051,162.5779,1,2017068,0,0,0,0,0
-70.051,162.5779,1,2017069,0,0,0,0,0
-70.051,162.5779,1,2017070,0,0,0,0,0
-70.051,162.5779,1,2017071,0,0,0,0,0
-70.051,162.5779,1,2017072,0,0,0,0,0
-70.051,162.5779,1,2017073,0,0,0,0,0
-70.051,162.5779,1,2017074,0,0,0,0,0
-70.051,162.5779,1,2017075,0,0,0,0,0
-70.051,162.5779,1,2017076,0,0,0,0,0
-70.051,162.5779,1,2017077,0,0,0,0,0
-70.051,162.5779,1,2017078,0,0,0,0,0
-70.051,162.5779,1,2017079,0,0,0,0,0
