Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,40,34,-74.43,-38.44,belle,7/15/2022
A64,9,8,-65.56,-59.49,belle,7/15/2022
A69A,10,9,-64.78,-57.39,belle,7/15/2022
A69B,10,5,-62.60,-56.09,belle,7/15/2022
A69C,10,3,-64.24,-55.38,belle,7/15/2022
A70,8,5,-65.67,-61.27,belle,7/15/2022
A74A,30,18,-76.87,-45.69,belle,7/15/2022
A74B,8,4,-76.74,-44.74,belle,7/15/2022
A76A,73,14,-63.48,-51.99,belle,7/15/2022
A76B,20,7,-68.87,-59.49,belle,7/15/2022
A76C,16,7,-67.66,-59.32,belle,7/15/2022
A77,27,4,-76.72,-35.56,belle,7/15/2022
A78,18,4,-71.45,-41.46,belle,7/15/2022
B09B,24,8,-66.20,143.42,wilke,7/15/2022
B09G,11,7,-68.15,41.87,amerw,7/15/2022
B15AB,11,4,-66.08,50.60,amerw,7/15/2022
B22A,38,24,-73.79,-109.48,amune (grounded),7/15/2022
B28,9,6,-74.25,-109.58,amune,7/15/2022
B29,11,5,-74.06,-110.10,amune,7/15/2022
B38,6,4,-76.99,-155.10,rosse,7/15/2022
B39,8,4,-76.92,-35.28,belle,7/15/2022
B42,8,3,-66.04,-147.58,amunw,7/15/2022
B45,7,6,-74.44,-109.73,amune,7/15/2022
B46,10,4,-74.75,-147.85,amune,7/15/2022
B47,12,5,-73.85,-134.19,amunw,7/15/2022
B50,12,3,-62.47,-159.25,rosse,7/15/2022
C15,12,8,-65.96,143.25,wilke,7/15/2022
C18B,19,4,-66.57,89.37,amere,7/15/2022
C21B,11,8,-64.98,95.86,wilkw (grounded),7/15/2022
C24,11,2,-64.84,96.03,wilkw (grounded),7/15/2022
C29,5,5,-66.06,142.77,wilke,7/15/2022
C30,9,3,-64.78,96.29,wilkw (grounded),7/15/2022
C31,9,3,-64.68,96.51,wilkw (grounded),7/15/2022
C33,8,4,-65.32,126.52,wilke (grounded),7/15/2022
C35,7,5,-67.30,147.80,wilke,7/15/2022
C36,22,15,-67.94,147.49,wilke (grounded),7/15/2022
C37,8,3,-65.28,100.85,wilkw,7/15/2022
C38A,10,8,-65.22,101.36,wilkw,7/15/2022
C38B,5,7,-64.94,101.83,wilkw,7/15/2022
C39,15,8,-65.68,99.54,wilkw,7/15/2022
D15A,51,24,-66.63,81.91,amere (grounded),7/15/2022
D15B,33,12,-66.97,81.57,amere (grounded),7/15/2022
D20A,14,5,-73.27,-22.96,weddw,7/15/2022
D23,8,6,-69.43,74.69,amere (grounded),7/15/2022
D26,16,2,-69.23,29.55,wedde (grounded),7/15/2022
D27,7,4,-67.55,9.38,wedde,7/15/2022
D28,29,19,-73.37,-42.69,belle,7/15/2022
D29A,15,9,-70.13,-41.52,belle,7/15/2022
D29B,13,7,-73.69,-42.26,belle,7/15/2022
D29C,13,6,-70.93,-42.10,belle,7/15/2022
D30A,37,11,-72.78,-45.53,belle,7/15/2022
D30B,10,5,-72.99,-43.09,belle,7/15/2022
D31,10,2,-73.63,-35.37,belle,7/15/2022
